transaction_id,amount,hour_of_day,is_online,distance_from_home_km,transactions_last_24h,is_fraud
T0138,573.0,10,0,20.2,3,0
T0139,1931.0,14,1,2.3,2,0
T0140,2300.0,7,1,5.0,2,0
T0141,1151.0,15,0,3.7,2,0
T0142,461.0,11,0,3.2,1,0
T0143,96.0,10,0,9.3,0,0
T0144,1521.0,13,1,17.2,4,0
T0145,4497.0,10,1,21.7,3,0
T0146,2135.0,2,1,21.5,2,1
T0147,346.0,11,0,6.1,2,0
T0148,2895.0,10,1,13.4,5,0
T0149,128.0,9,0,10.6,0,0
T0150,2340.0,18,0,4.6,5,0
T0151,1568.0,10,0,0.6,3,0
T0152,10032.0,14,1,394.1,4,1
T0153,2193.0,8,0,7.1,2,0
T0154,1711.0,17,0,3.6,1,0
T0155,4097.0,12,0,4.2,2,0
T0156,996.0,11,0,1.1,4,0
T0157,2130.0,6,1,1.6,2,0
T0158,2636.0,20,1,0.9,1,0
T0159,1888.0,8,1,3.5,2,0
T0160,808.0,13,0,5.1,1,0
T0161,1901.0,7,0,4.8,1,0
T0162,2132.0,5,0,8.3,1,0
T0163,2338.0,22,1,15.7,1,0
T0164,779.0,10,0,5.1,0,0
T0165,800.0,4,1,82.8,5,1
T0166,3557.0,22,0,16.8,1,0
T0167,1114.0,4,1,58.7,4,1
T0168,1198.0,20,0,3.4,0,0
T0169,618.0,9,0,5.3,2,0
T0170,876.0,20,0,1.6,1,0
T0171,1215.0,13,1,2.6,2,0
T0172,2454.0,13,0,2.8,6,0
T0173,3201.0,23,1,5.6,2,0
T0174,284.0,13,0,9.7,3,0
T0175,4246.0,19,0,17.0,4,0
T0176,3354.0,15,0,11.1,1,0
T0177,395.0,16,0,26.2,0,0
T0178,4508.0,14,0,6.2,3,0
T0179,1467.0,15,0,11.1,2,0
T0180,196.0,3,1,38.4,0,1
T0181,798.0,20,0,16.7,2,0
T0182,9033.0,2,1,195.8,5,1
T0183,858.0,19,0,4.2,0,0
T0184,439.0,16,0,9.8,0,0
T0185,2128.0,18,0,15.4,2,0
T0186,5281.0,22,0,16.1,4,0
T0187,512.0,20,1,4.5,0,0
T0188,2439.0,7,1,5.8,3,0
T0189,225.0,15,0,4.7,3,0
T0190,521.0,14,0,14.6,2,0
T0191,1136.0,11,0,5.5,5,0
T0192,483.0,17,1,17.5,4,0
T0193,3861.0,9,1,2.2,2,0
T0194,1472.0,18,1,18.0,1,0
T0195,742.0,13,0,17.2,5,0
T0196,1442.0,22,1,5.1,3,0
T0197,1049.0,18,0,2.2,0,0
T0198,270.0,19,1,17.6,2,1
T0199,1036.0,11,0,10.2,1,0
T0200,310.0,16,0,15.7,2,0
T0201,3056.0,23,0,3.8,0,0
T0202,2529.0,17,0,6.7,1,0
T0203,1125.0,21,0,15.1,1,0
T0204,623.0,12,0,5.6,2,0
T0205,888.0,7,0,8.2,3,0
T0206,1422.0,9,0,19.8,1,0
T0207,365.0,9,0,3.3,1,0
T0208,1040.0,13,0,3.3,1,0
T0209,1033.0,12,0,3.3,1,0
T0210,2793.0,11,1,7.7,2,0
T0211,386.0,8,0,5.4,3,0
T0212,847.0,15,1,6.0,0,0
T0213,1835.0,8,1,11.6,2,0
T0214,330.0,17,0,3.4,0,0
T0215,2888.0,16,1,13.1,3,0
T0216,2065.0,6,1,10.7,1,0
T0217,3902.0,11,1,7.0,4,0
T0218,2401.0,14,1,5.2,4,0
T0219,241.0,17,0,2.1,2,0
T0220,228.0,10,1,6.7,4,0
T0221,7350.0,4,1,9.5,8,1
T0222,1418.0,21,0,0.6,3,0
T0223,1324.0,21,1,1.3,1,0
T0224,1924.0,13,1,4.5,3,0
T0225,1061.0,11,0,5.7,2,0
T0226,1654.0,20,1,20.0,2,0
T0227,1475.0,18,1,10.8,0,0
T0228,795.0,6,0,7.5,1,0
T0229,2579.0,6,1,6.3,1,0
T0230,8454.0,23,1,48.7,6,1
T0231,1820.0,9,1,9.8,4,0
T0232,1400.0,10,0,1.7,2,0
T0233,3358.0,15,1,13.8,2,0
T0234,1067.0,10,1,4.4,0,0
T0235,809.0,11,0,16.2,1,0
T0236,3225.0,7,1,5.5,0,0
T0237,2083.0,9,1,8.6,0,0
T0238,829.0,21,0,13.3,2,0
T0239,2555.0,14,0,6.7,1,0
T0240,1860.0,23,1,32.0,1,0
T0241,1843.0,15,0,5.9,1,0
T0242,1227.0,20,0,7.2,2,0
T0243,1210.0,19,0,13.2,2,0
T0244,423.0,16,0,10.7,1,0
T0245,2309.0,22,1,2.8,0,0
T0246,2936.0,13,0,7.7,0,0
T0247,4091.0,8,1,10.6,1,0
T0248,1685.0,15,0,2.9,2,0
T0249,1320.0,20,0,1.2,3,0
T0250,1603.0,3,0,4.7,0,0
T0251,1796.0,18,0,3.6,2,0
T0252,1774.0,20,1,2.8,2,0
T0253,2536.0,19,1,6.1,1,0
T0254,1582.0,13,1,0.8,1,0
T0255,5967.0,6,0,15.2,2,0
T0256,1320.0,20,0,2.5,1,0
T0257,3248.0,11,0,14.4,5,0
T0258,1282.0,10,1,3.5,0,0
T0259,2989.0,18,1,5.0,4,0
T0260,568.0,17,0,11.7,4,0
T0261,944.0,13,0,2.5,4,0
T0262,324.0,9,1,3.2,3,0
T0263,3459.0,17,0,8.7,2,0
T0264,436.0,16,1,23.6,0,0
T0265,2361.0,5,0,21.2,2,0
T0266,877.0,8,0,0.3,2,0
T0267,4404.0,15,0,4.7,4,0
T0268,532.0,8,1,13.5,4,0
T0269,448.0,3,0,3.0,1,0
T0270,2146.0,20,1,28.9,0,0
T0271,691.0,18,1,14.5,3,0
T0272,1948.0,18,1,3.2,0,0
T0273,4748.0,12,1,8.8,0,0
T0274,702.0,19,0,8.1,2,0
T0275,1459.0,12,0,2.3,1,0
T0276,1863.0,11,1,7.4,0,0
T0277,4009.0,8,0,29.6,3,0
T0278,641.0,10,1,2.3,2,0
T0279,2487.0,14,0,7.0,3,0
T0280,1037.0,14,1,2.2,0,0
T0281,1228.0,11,0,1.6,2,0
T0282,2209.0,16,1,0.8,2,0
T0283,3630.0,19,0,4.9,1,0
T0284,304.0,10,0,16.4,2,0
T0285,591.0,10,0,8.5,3,0
T0286,974.0,17,0,6.5,5,0
T0287,716.0,12,0,5.9,3,0
T0288,1265.0,8,0,6.1,2,0
T0289,1864.0,9,0,4.6,1,0
T0290,1510.0,11,0,8.0,3,0
T0291,1643.0,18,1,6.2,3,0
T0292,2158.0,9,0,6.4,3,0
T0293,1147.0,12,0,10.1,0,0
T0294,3806.0,18,1,5.4,1,0
T0295,1270.0,11,1,9.8,3,0
T0296,969.0,3,0,4.2,2,0
T0297,472.0,10,1,25.2,1,0
T0298,1423.0,11,0,10.1,5,0
T0299,1835.0,8,0,3.9,1,0
T0300,3411.0,19,1,6.6,2,0
T0301,2839.0,15,0,5.2,2,0
T0302,1094.0,7,1,2.4,2,0
T0303,3166.0,2,0,8.8,1,0
T0304,1847.0,17,1,17.1,0,0
T0305,1752.0,20,1,7.7,2,0
T0306,1169.0,13,0,1.7,2,0
T0307,2025.0,8,1,7.3,0,0
T0308,951.0,4,1,7.8,3,0
T0309,1194.0,15,0,19.0,2,0
T0310,2292.0,20,1,18.9,0,0
T0311,2809.0,19,0,25.1,0,0
T0312,1254.0,19,0,16.9,3,0
T0313,1061.0,13,1,20.7,1,0
T0314,2698.0,12,1,10.9,2,0
T0315,607.0,20,1,6.3,1,0
T0316,4070.0,13,1,12.4,2,0
T0317,614.0,12,0,19.4,1,0
T0318,1175.0,20,1,1.7,2,0
T0319,773.0,16,1,11.7,3,0
T0320,2193.0,11,1,10.1,4,0
T0321,763.0,12,1,4.7,2,0
T0322,2657.0,3,1,0.2,0,0
T0323,2057.0,12,0,10.7,3,0
T0324,124.0,9,0,7.6,0,0
T0325,1449.0,12,1,3.7,3,0
T0326,1165.0,11,0,2.4,3,0
T0327,2037.0,18,1,1.2,3,0
T0328,2873.0,10,0,7.3,2,0
T0329,743.0,8,0,9.7,1,0
T0330,1719.0,17,0,1.1,0,0
T0331,946.0,13,0,11.7,3,0
T0332,1610.0,17,1,17.6,0,0
T0333,106.0,12,0,7.8,2,0
T0334,1517.0,13,0,27.4,3,0
T0335,2591.0,21,1,11.0,1,0
T0336,1226.0,7,0,1.6,1,0
T0337,1214.0,19,0,1.2,2,0
T0338,107.0,11,1,3.6,2,0
T0339,1697.0,7,0,1.6,3,0
T0340,379.0,0,0,13.3,0,0
T0341,80.0,17,0,2.4,0,0
T0342,1991.0,11,1,6.6,4,0
T0343,317.0,19,0,15.1,3,0
T0344,2183.0,15,0,8.6,0,0
T0345,640.0,13,0,0.3,3,0
T0346,640.0,9,0,20.6,1,0
T0347,587.0,13,1,2.0,1,0
T0348,2473.0,8,0,3.6,1,0
T0349,668.0,19,0,6.5,4,0
T0350,1475.0,11,1,6.3,2,0
T0351,1139.0,18,0,23.2,3,0
T0352,1325.0,23,1,7.6,1,0
T0353,1130.0,13,1,0.4,1,0
T0354,2081.0,18,1,2.8,2,0
T0355,1716.0,17,0,2.4,3,0
T0356,745.0,19,1,3.5,1,0
T0357,1021.0,11,0,9.1,1,0
T0358,1696.0,18,0,19.1,1,0
T0359,1221.0,6,0,8.4,0,0
T0360,1227.0,17,0,12.8,4,0
T0361,2732.0,19,0,6.2,2,0
T0362,2430.0,21,1,7.9,3,0
T0363,1048.0,20,0,7.0,1,0
T0364,938.0,18,1,5.9,1,0
T0365,781.0,14,0,19.8,0,0
T0366,743.0,13,0,1.9,1,0
T0367,4825.0,13,0,0.8,4,0
T0368,907.0,5,0,1.0,2,0
T0369,5897.0,10,0,10.5,1,0
T0370,1397.0,9,0,23.7,2,0
T0371,593.0,8,0,15.0,1,0
T0372,1451.0,18,0,21.3,4,0
T0373,1411.0,10,1,0.6,1,0
T0374,1012.0,14,0,13.2,3,0
T0375,2290.0,15,0,3.8,5,0
T0376,732.0,15,0,23.6,4,0
T0377,1523.0,21,0,1.8,0,0
T0378,4319.0,19,0,4.3,3,0
T0379,2608.0,20,1,5.7,4,0
T0380,351.0,15,1,6.7,1,0
T0381,946.0,8,1,0.8,2,0
T0382,2642.0,17,1,35.0,1,0
T0383,2011.0,18,0,24.0,1,0
T0384,598.0,5,0,3.3,0,0
T0385,2483.0,16,0,10.6,3,0
T0386,3843.0,5,1,14.2,2,0
T0387,141.0,10,0,11.7,1,0
T0388,2644.0,10,1,5.6,3,0
T0389,796.0,15,1,16.7,0,0
T0390,6858.0,22,1,379.7,1,1
T0391,2263.0,15,0,6.2,3,0
T0392,3099.0,21,0,23.7,4,0
T0393,2112.0,15,0,12.8,1,0
T0394,2507.0,19,0,10.4,2,0
T0395,4955.0,7,1,23.7,1,1
T0396,2389.0,19,1,1.6,4,0
T0397,2959.0,8,0,3.4,2,0
T0398,1189.0,14,0,24.1,0,0
T0399,1413.0,11,1,12.3,1,0
T0400,2651.0,4,1,33.1,4,0
T0401,3454.0,22,1,4.4,1,0
T0402,2329.0,17,1,5.7,4,0
T0403,1046.0,7,1,13.2,2,0
T0404,935.0,16,0,52.8,2,0
T0405,612.0,20,1,4.6,2,0
T0406,485.0,8,0,25.0,3,0
T0407,437.0,8,0,6.0,2,0
T0408,589.0,18,0,1.0,2,0
T0409,3797.0,22,1,19.9,3,0
T0410,2401.0,8,1,3.2,0,0
T0411,3048.0,8,0,25.2,2,0
T0412,1949.0,13,0,0.5,1,0
T0413,1161.0,17,0,35.8,2,0
T0414,1410.0,10,0,18.4,5,0
T0415,1349.0,9,0,27.8,2,0
T0416,1446.0,6,1,12.4,2,0
T0417,3003.0,10,0,3.1,0,0
T0418,1767.0,8,1,6.6,1,0
T0419,4047.0,16,1,8.9,5,0
T0420,13062.0,4,1,13.4,1,1
T0421,1910.0,20,0,6.5,2,0
T0422,1845.0,12,0,1.5,1,0
T0423,2254.0,11,1,0.3,2,0
T0424,1310.0,22,0,1.8,1,0
T0425,954.0,10,1,14.6,2,0
T0426,433.0,23,0,49.5,1,1
T0427,2830.0,15,0,8.5,4,0
T0428,4355.0,4,1,0.8,3,0
T0429,585.0,18,1,6.4,2,0
T0430,338.0,23,0,0.4,3,0
T0431,3472.0,10,1,14.4,4,0
T0432,692.0,11,1,8.1,2,0
T0433,594.0,19,1,6.0,3,0
T0434,1323.0,10,0,0.4,0,0
T0435,3682.0,22,1,96.7,1,1
T0436,380.0,12,0,1.1,5,0
T0437,1952.0,12,1,7.8,4,0
T0438,4568.0,15,0,1.3,1,0
T0439,781.0,8,0,4.8,5,0
T0440,4500.0,16,0,23.4,2,0
T0441,2486.0,11,1,1.0,4,0
T0442,2995.0,6,0,15.2,2,0
T0443,21093.0,2,1,47.4,2,1
T0444,2710.0,11,0,13.2,1,0
T0445,1206.0,13,1,23.9,4,0
T0446,43.0,18,1,5.7,2,0
T0447,1004.0,10,0,9.8,1,0
T0448,2563.0,8,0,2.5,6,0
T0449,3769.0,16,0,15.6,3,0
T0450,1001.0,22,1,11.7,3,0
T0451,3067.0,12,1,23.8,2,0
T0452,1026.0,15,1,4.5,4,0
T0453,1187.0,12,1,11.9,2,0
T0454,1243.0,13,1,4.7,3,0
T0455,849.0,12,0,36.7,1,0
T0456,2638.0,10,1,42.3,1,0
T0457,1260.0,19,1,3.6,3,0
T0458,1588.0,18,0,33.0,0,0
T0459,775.0,20,0,17.2,4,0
T0460,2317.0,18,0,8.6,2,0
T0461,682.0,8,1,3.5,1,0
T0462,880.0,12,0,2.4,2,0
T0463,1993.0,22,0,0.4,2,0
T0464,3670.0,20,0,3.0,3,0
T0465,1297.0,16,0,0.1,2,0
T0466,279.0,18,1,16.6,4,0
T0467,1418.0,16,0,1.0,2,0
T0468,6013.0,23,0,33.2,0,0
T0469,846.0,17,0,16.4,1,0
T0470,2985.0,16,0,0.9,3,0
T0471,1438.0,11,0,3.2,0,0
T0472,831.0,21,1,17.1,1,0
T0473,87.0,1,1,88.0,5,1
T0474,2435.0,8,1,7.3,2,0
T0475,125.0,4,0,14.5,1,0
T0476,3065.0,21,0,7.5,1,0
T0477,3318.0,9,0,4.2,2,0
T0478,367.0,9,1,28.0,3,0
T0479,700.0,3,1,1.7,1,0
T0480,1526.0,0,0,18.7,0,0
T0481,1057.0,19,0,6.6,1,0
T0482,2408.0,14,0,11.2,0,0
T0483,1970.0,16,0,19.7,2,0
T0484,1241.0,23,1,10.2,1,0
T0485,786.0,19,1,12.8,0,0
T0486,4099.0,19,0,32.2,2,0
T0487,643.0,17,1,4.4,0,0
T0488,3289.0,19,1,9.2,2,0
T0489,3815.0,13,0,1.9,1,0
T0490,1833.0,7,0,5.5,0,0
T0491,861.0,19,0,14.0,0,0
T0492,1059.0,22,1,44.9,2,0
T0493,3336.0,9,0,2.4,3,0
T0494,568.0,9,0,9.7,1,0
T0495,720.0,8,0,2.8,3,0
T0496,6170.0,11,0,14.3,0,0
T0497,781.0,8,0,7.4,3,0
T0498,2651.0,17,1,6.0,3,0
T0499,277.0,15,1,11.8,2,0
T0500,682.0,20,1,17.2,5,0
T0501,2136.0,13,1,2.1,3,0
T0502,2176.0,18,1,18.9,1,0
T0503,1841.0,13,1,39.0,1,0
T0504,2146.0,9,0,13.1,2,0
T0505,1305.0,18,0,4.2,2,0
T0506,522.0,19,0,0.2,4,0
T0507,2842.0,17,0,4.2,0,0
T0508,1811.0,18,0,21.0,0,0
T0509,2640.0,11,0,2.7,0,0
T0510,551.0,17,1,19.2,1,0
T0511,754.0,21,1,1.0,2,0
T0512,3901.0,10,1,18.6,4,0
T0513,1017.0,14,0,9.5,5,0
T0514,1449.0,8,0,3.6,2,0
T0515,1024.0,14,1,5.1,1,0
T0516,353.0,10,0,3.8,1,0
T0517,962.0,17,0,17.0,1,0
T0518,871.0,12,0,6.9,1,0
T0519,1623.0,12,0,6.1,1,0
T0520,3583.0,9,1,4.1,0,0
T0521,1425.0,8,0,7.0,1,0
T0522,1925.0,11,0,14.1,3,0
T0523,721.0,21,0,8.4,1,0
T0524,2091.0,13,0,1.5,1,0
T0525,2141.0,13,0,3.6,5,0
T0526,2912.0,20,0,7.6,1,0
T0527,2786.0,23,0,3.0,5,0
T0528,866.0,12,0,0.1,3,0
T0529,2322.0,19,1,16.4,4,0
T0530,683.0,10,0,2.0,0,0
T0531,360.0,15,0,16.6,5,0
T0532,2104.0,18,1,12.8,1,0
T0533,5442.0,16,1,13.5,2,0
T0534,1161.0,16,0,2.8,1,0
T0535,2053.0,17,1,2.4,2,0
T0536,1714.0,16,1,8.1,3,0
T0537,1344.0,16,1,33.6,3,0
T0538,1000.0,16,1,12.8,2,0
T0539,490.0,12,1,3.0,2,0
T0540,252.0,8,1,7.5,2,0
T0541,942.0,8,1,4.5,5,0
T0542,1479.0,20,0,22.1,2,0
T0543,3242.0,19,0,8.3,3,0
T0544,2379.0,10,1,31.4,2,0
T0545,511.0,14,1,3.8,1,0
T0546,466.0,12,0,14.0,1,0
T0547,5535.0,20,1,19.8,3,0
T0548,400.0,0,0,365.0,3,1
T0549,7736.0,21,1,205.7,5,1
T0550,310.0,18,1,15.5,3,0
T0551,5109.0,11,0,6.6,2,0
T0552,5168.0,14,1,80.1,4,1
T0553,842.0,15,0,18.7,4,0
T0554,3372.0,19,0,1.6,1,0
T0555,492.0,16,0,1.9,3,0
T0556,2103.0,17,0,10.1,3,0
T0557,616.0,17,0,3.7,0,0
T0558,1982.0,19,1,0.2,2,0
T0559,3390.0,10,0,31.1,3,0
T0560,604.0,13,0,12.0,4,0
T0561,2674.0,16,1,12.7,4,0
T0562,343.0,19,0,7.2,5,0
T0563,2730.0,11,0,8.4,1,0
T0564,4845.0,13,0,2.4,1,0
T0565,3610.0,15,1,6.8,1,0
T0566,2359.0,15,1,29.0,0,0
T0567,537.0,21,1,16.5,1,0
T0568,3219.0,10,1,4.8,2,0
T0569,1477.0,18,1,4.2,2,0
T0570,224.0,18,1,0.9,0,0
T0571,2453.0,11,0,9.8,6,0
T0572,1690.0,7,1,9.5,5,0
T0573,1869.0,18,0,53.2,0,0
T0574,1062.0,17,0,6.3,2,0
T0575,932.0,13,1,21.1,3,0
T0576,2320.0,8,0,13.2,3,0
T0577,2933.0,16,1,28.6,1,0
T0578,1937.0,15,0,0.3,3,0
T0579,6481.0,13,0,19.3,1,0
T0580,4195.0,15,0,18.6,4,0
T0581,4749.0,11,0,1.4,3,0
T0582,2048.0,12,0,18.9,3,0
T0583,952.0,19,0,24.4,2,0
T0584,1407.0,11,0,18.5,1,0
T0585,1072.0,19,0,2.1,0,0
T0586,556.0,18,1,111.8,6,1
T0587,2157.0,21,0,29.4,1,0
T0588,3498.0,15,1,2.0,1,0
T0589,3166.0,20,0,4.4,2,0
T0590,568.0,7,1,7.9,2,0
T0591,5714.0,17,0,5.2,0,0
T0592,2652.0,12,0,0.8,3,0
T0593,968.0,15,1,8.4,3,0
T0594,1445.0,15,1,3.2,2,0
T0595,2887.0,16,1,2.5,4,0
T0596,715.0,21,0,2.7,1,0
T0597,1722.0,17,1,0.5,0,0
T0598,49.0,1,1,37.6,7,1
T0599,702.0,21,0,7.9,1,0
T0600,121.0,2,1,62.2,3,1
T0601,172.0,19,0,16.7,0,0
T0602,3391.0,12,0,10.0,1,0
T0603,1166.0,19,0,67.7,7,0
T0604,1442.0,20,0,6.6,2,0
T0605,854.0,19,1,8.5,0,0
T0606,993.0,12,0,21.3,0,0
T0607,4303.0,10,0,1.9,1,0
T0608,1471.0,7,0,2.0,4,0
T0609,1751.0,14,0,2.7,3,0
T0610,1206.0,21,0,7.7,1,0
T0611,3355.0,18,0,4.4,4,0
T0612,1826.0,11,0,2.2,3,0
T0613,996.0,13,1,3.3,0,0
T0614,1480.0,9,0,0.6,0,0
T0615,5059.0,7,0,6.7,0,0
T0616,1102.0,17,0,5.2,5,0
T0617,1038.0,11,1,14.1,0,0
T0618,801.0,9,1,4.0,1,0
T0619,2509.0,10,0,4.6,3,0
T0620,1215.0,18,0,7.4,1,0
T0621,2393.0,23,0,19.9,1,0
T0622,3193.0,18,0,4.2,1,0
T0623,3984.0,7,1,11.3,2,0
T0624,1478.0,13,0,5.6,1,0
T0625,284.0,17,1,6.8,5,0
T0626,1306.0,6,1,9.7,0,0
T0627,504.0,11,1,6.5,2,0
T0628,258.0,21,0,0.3,4,0
T0629,2063.0,6,0,0.5,5,0
T0630,1585.0,21,0,18.9,1,0
T0631,584.0,19,1,15.0,0,0
T0632,2653.0,23,0,1.6,1,0
T0633,951.0,19,1,7.1,0,0
T0634,7395.0,6,1,19.2,2,1
T0635,3839.0,23,0,14.1,4,0
T0636,3061.0,11,0,26.3,2,0
T0637,1785.0,9,1,5.2,3,0
T0638,2076.0,18,1,0.6,2,0
T0639,1722.0,15,0,8.9,2,0
T0640,4667.0,6,0,24.4,2,0
T0641,1022.0,18,0,13.2,5,0
T0642,1380.0,20,0,3.4,0,0
T0643,862.0,21,0,6.5,3,0
T0644,1840.0,13,0,2.9,2,0
T0645,1911.0,8,0,3.1,1,0
T0646,2550.0,12,0,13.2,2,0
T0647,2439.0,15,0,18.7,1,0
T0648,2208.0,10,1,25.3,3,0
T0649,4057.0,12,1,0.7,2,0
T0650,160.0,20,0,7.3,5,0
T0651,2746.0,23,1,0.2,2,0
T0652,2453.0,5,1,7.3,2,0
T0653,677.0,15,1,1.7,0,0
T0654,532.0,20,1,3.4,2,0
T0655,3760.0,12,1,22.5,4,0
T0656,803.0,19,0,4.1,2,0
T0657,1246.0,10,1,2.3,2,0
T0658,602.0,5,0,62.2,4,1
T0659,785.0,11,0,8.3,2,0
T0660,2497.0,11,1,2.9,0,0
T0661,2108.0,12,1,9.4,4,0
T0662,2433.0,23,1,14.1,2,0
T0663,807.0,10,1,1.9,2,0
T0664,1735.0,16,1,1.8,3,0
T0665,502.0,12,0,13.4,2,0
T0666,2233.0,15,0,2.2,1,0
T0667,1280.0,12,1,6.0,1,0
T0668,2154.0,9,0,4.9,1,0
T0669,1461.0,22,0,6.1,2,0
T0670,1071.0,20,1,29.3,2,0
T0671,3003.0,17,1,2.5,1,0
T0672,565.0,13,1,16.7,3,0
