area_sqft,bedrooms,bathrooms,age_years,distance_to_center_km,neighborhood_type,price_lakhs
1297,1,1,21.0,7.4,city_center,104.1
1362,2,2,6.0,7.2,outskirts,88.5
2338,3,2,9.0,5.0,outskirts,175.7
1265,2,1,15.0,21.3,outskirts,53.2
1333,2,1,13.0,3.9,outskirts,87.3
1694,3,3,2.0,15.4,suburb,136.5
1434,2,2,16.0,9.7,city_center,133.0
1391,2,2,18.0,6.1,outskirts,84.4
887,1,1,11.0,4.3,suburb,93.7
1494,3,3,15.0,17.1,suburb,109.6
1256,2,2,13.0,11.6,suburb,101.5
2141,3,3,15.0,18.3,suburb,136.9
1859,2,2,25.0,15.3,suburb,121.6
1487,2,2,20.0,4.8,suburb,115.7
1868,3,2,8.0,7.0,suburb,163.6
1313,1,1,32.0,2.4,outskirts,79.3
2079,2,1,21.0,17.4,suburb,126.5
1497,2,2,18.0,11.6,suburb,77.9
1821,4,3,29.0,5.7,outskirts,122.4
790,2,2,30.0,9.5,outskirts,48.2
1691,2,1,34.0,4.1,outskirts,82.9
571,1,1,32.0,6.5,city_center,60.1
450,2,2,27.0,,city_center,67.8
1333,2,1,29.0,14.1,outskirts,74.3
1005,1,1,6.0,6.6,outskirts,50.7
1590,3,3,28.0,7.2,suburb,113.1
2735,4,4,10.0,6.2,suburb,202.4
1043,2,1,10.0,11.6,city_center,136.8
1157,1,1,5.0,2.2,suburb,103.3
1613,3,2,16.0,6.1,outskirts,102.4
1771,4,4,1.0,6.0,suburb,145.8
1403,2,2,26.0,12.5,outskirts,90.6
1387,2,2,30.0,3.5,outskirts,93.2
1886,1,1,31.0,13.9,city_center,145.5
1786,3,3,5.0,12.8,suburb,118.6
931,1,1,26.0,14.9,suburb,51.3
1456,2,2,34.0,4.7,city_center,147.1
1519,3,2,1.0,4.8,suburb,125.6
920,1,1,8.0,8.9,suburb,90.0
1643,1,1,11.0,5.6,outskirts,101.3
1028,2,2,18.0,5.9,outskirts,68.0
2035,2,1,7.0,8.5,city_center,190.7
1606,2,2,22.0,9.3,city_center,155.1
1549,2,1,14.0,9.4,outskirts,80.4
1175,1,1,,7.2,suburb,81.0
1435,1,1,21.0,5.6,suburb,132.6
450,1,1,27.0,4.3,suburb,34.0
878,1,1,10.0,7.9,outskirts,46.5
1700,3,3,28.0,6.8,suburb,138.0
450,2,1,29.0,7.2,suburb,47.4
1966,3,2,29.0,12.8,city_center,156.1
540,1,1,3.0,5.1,outskirts,25.9
1916,2,1,38.0,19.2,city_center,149.1
1035,1,1,23.0,6.7,city_center,127.0
1928,2,2,11.0,14.6,suburb,147.8
1572,2,2,17.0,6.2,outskirts,95.2
655,1,1,21.0,10.1,suburb,67.8
2187,3,2,21.0,7.2,suburb,143.2
2293,2,2,10.0,3.1,city_center,204.8
1464,2,1,11.0,10.1,suburb,103.7
1349,2,1,15.0,3.5,outskirts,89.4
1412,2,1,,6.5,city_center,146.0
964,1,1,17.0,13.3,suburb,83.0
2104,3,2,,30.0,suburb,118.6
1201,1,1,18.0,5.4,city_center,143.9
1472,1,1,8.0,7.2,suburb,106.4
1064,2,1,0.0,11.4,suburb,82.3
1156,3,2,39.0,9.1,city_center,118.4
797,2,1,12.0,17.4,outskirts,21.7
2191,4,4,21.0,,city_center,198.6
1415,2,1,14.0,18.8,suburb,98.6
2031,2,2,2.0,12.3,suburb,142.9
1507,3,2,36.0,8.9,suburb,113.3
1118,2,2,37.0,8.4,city_center,110.8
1320,2,1,7.0,10.8,outskirts,80.3
1192,2,1,17.0,13.0,city_center,106.9
1504,2,2,15.0,6.6,suburb,117.0
1294,2,1,7.0,6.0,outskirts,75.4
1335,2,1,26.0,6.7,outskirts,70.0
742,1,1,31.0,6.2,outskirts,33.4
1056,1,1,30.0,13.3,suburb,69.8
2410,5,4,27.0,11.8,outskirts,125.1
1131,2,1,1.0,2.3,outskirts,66.6
920,1,1,9.0,5.7,city_center,114.6
1686,3,2,21.0,3.5,outskirts,113.9
2274,4,3,28.0,6.9,city_center,201.9
700,1,1,15.0,6.1,suburb,77.7
1385,2,1,18.0,4.9,city_center,161.1
1152,2,2,34.0,11.2,city_center,120.2
531,1,1,1.0,6.0,city_center,101.0
1904,3,2,11.0,8.8,outskirts,106.4
1487,3,3,12.0,6.8,city_center,146.7
1539,2,1,40.0,11.2,outskirts,66.4
1086,2,2,9.0,11.0,city_center,129.1
1750,2,1,2.0,6.6,suburb,140.5
1203,3,3,17.0,10.0,city_center,135.0
1421,1,1,26.0,8.6,outskirts,69.7
890,1,1,6.0,16.9,city_center,110.3
831,1,1,34.0,4.8,outskirts,42.1
2235,4,3,8.0,8.8,suburb,173.4
1221,2,2,28.0,7.7,outskirts,70.3
1660,3,3,6.0,6.9,outskirts,104.5
1481,1,1,35.0,22.0,suburb,63.3
1257,2,1,8.0,9.4,suburb,109.1
1221,2,1,29.0,14.1,city_center,122.0
1847,2,2,34.0,14.6,suburb,110.1
1334,2,1,10.0,9.3,city_center,136.4
1417,1,1,4.0,9.6,suburb,135.4
1512,1,1,23.0,4.7,suburb,99.7
2147,3,3,20.0,5.1,suburb,154.3
1874,2,2,19.0,8.3,city_center,170.2
1710,2,1,31.0,2.3,outskirts,85.4
1190,2,1,19.0,13.0,city_center,124.3
740,1,1,20.0,19.3,suburb,69.3
2022,4,4,,3.4,city_center,205.3
2032,3,3,18.0,10.4,suburb,152.0
1423,1,1,16.0,13.5,suburb,102.9
1798,2,2,6.0,5.4,suburb,141.1
1930,2,2,12.0,,suburb,155.7
1957,2,2,11.0,2.8,city_center,182.2
2007,3,3,10.0,11.2,outskirts,116.6
1249,1,1,31.0,7.7,suburb,86.5
2333,2,1,5.0,10.0,suburb,174.2
814,2,1,8.0,4.7,suburb,89.4
1974,3,2,21.0,8.2,suburb,150.6
1772,3,3,13.0,13.5,outskirts,79.5
1980,3,2,10.0,8.1,city_center,198.9
2533,4,3,15.0,12.0,suburb,205.6
2316,3,2,20.0,14.9,suburb,168.5
870,2,2,27.0,8.8,suburb,67.5
571,1,1,39.0,10.8,outskirts,18.0
1949,3,3,34.0,13.6,suburb,129.1
942,2,1,17.0,13.1,suburb,63.4
1493,1,1,18.0,15.8,suburb,103.9
1962,3,3,17.0,8.5,outskirts,112.5
596,1,1,10.0,7.1,city_center,109.4
450,1,1,38.0,23.3,outskirts,18.0
1643,2,2,,8.7,outskirts,79.0
1524,3,3,8.0,11.0,suburb,125.1
1365,2,2,,21.5,city_center,108.0
1521,1,1,24.0,1.3,outskirts,71.5
1027,1,1,11.0,6.4,suburb,79.5
668,1,1,37.0,1.4,city_center,91.0
1408,2,2,16.0,15.2,city_center,146.0
966,1,1,24.0,25.9,suburb,30.2
596,1,1,4.0,7.1,outskirts,54.0
1778,2,1,36.0,10.9,outskirts,112.1
1466,2,2,4.0,12.0,suburb,120.6
1724,2,1,16.0,2.0,suburb,141.0
956,1,1,,6.4,outskirts,43.5
1138,2,1,38.0,9.8,suburb,64.0
951,3,2,36.0,3.0,outskirts,65.9
1012,1,1,33.0,5.7,suburb,78.5
1607,2,2,9.0,14.9,suburb,122.9
1069,1,1,1.0,,outskirts,95.0
1696,3,3,18.0,3.8,city_center,178.9
1687,2,2,3.0,4.2,suburb,142.2
2614,3,2,38.0,10.4,city_center,218.2
734,1,1,0.0,3.1,outskirts,40.9
1988,2,2,13.0,4.8,outskirts,108.1
1451,1,1,,7.4,suburb,106.1
1492,2,2,1.0,13.4,city_center,141.8
703,1,1,20.0,5.4,city_center,108.4
1247,1,1,3.0,6.6,suburb,99.7
1909,2,2,36.0,8.6,suburb,144.2
1455,2,2,28.0,6.0,city_center,160.1
1545,2,2,15.0,6.8,city_center,162.7
1340,1,1,34.0,17.8,suburb,69.7
2135,3,3,32.0,18.8,outskirts,112.3
1488,3,3,13.0,10.0,city_center,162.8
450,1,1,34.0,9.5,suburb,24.3
1119,2,2,37.0,9.3,suburb,82.5
450,1,1,25.0,16.3,suburb,41.4
450,1,1,14.0,6.6,suburb,55.7
1208,1,1,36.0,14.0,suburb,90.1
2233,2,1,38.0,12.6,outskirts,123.9
1526,2,1,14.0,19.5,suburb,90.3
855,2,1,3.0,13.5,suburb,79.8
983,2,2,35.0,6.4,outskirts,41.1
2122,4,4,27.0,10.1,outskirts,132.3
1587,2,2,9.0,9.9,outskirts,84.6
1526,3,3,23.0,4.6,city_center,167.8
1471,2,1,12.0,6.2,city_center,156.7
1521,2,1,37.0,3.7,suburb,119.9
1943,4,4,14.0,2.6,outskirts,132.1
1804,3,3,8.0,11.4,suburb,119.0
1619,2,1,2.0,3.4,suburb,156.3
926,1,1,14.0,8.7,suburb,74.3
1781,3,3,40.0,5.2,outskirts,116.2
1124,2,2,9.0,14.0,city_center,129.0
2102,3,3,18.0,10.0,suburb,156.9
801,1,1,39.0,10.2,suburb,74.3
1424,2,2,0.0,12.8,outskirts,91.5
1496,2,2,12.0,8.6,outskirts,106.8
771,1,1,33.0,3.7,suburb,45.6
2447,4,4,4.0,8.2,suburb,195.2
2303,3,3,37.0,10.1,outskirts,120.4
1245,2,1,33.0,7.7,suburb,88.3
1924,2,2,6.0,9.5,suburb,141.0
1708,3,3,24.0,3.4,city_center,171.9
450,2,1,22.0,9.2,outskirts,45.6
1638,3,3,28.0,23.5,outskirts,51.1
1466,2,1,12.0,4.4,suburb,119.8
1546,2,2,15.0,4.5,suburb,113.1
908,2,2,10.0,28.8,suburb,69.6
1352,1,1,12.0,12.0,outskirts,66.3
1402,2,1,7.0,20.6,suburb,101.6
2153,3,2,36.0,15.6,outskirts,103.2
1684,3,3,35.0,2.9,outskirts,108.6
1497,2,2,14.0,17.6,outskirts,88.5
2341,4,3,28.0,9.2,suburb,158.3
1195,2,2,20.0,5.1,city_center,134.2
1286,2,2,11.0,11.7,suburb,82.7
501,1,1,14.0,10.0,outskirts,29.8
2363,3,3,39.0,10.7,outskirts,134.9
2030,3,3,14.0,3.5,city_center,184.7
2004,3,2,23.0,24.2,city_center,169.0
1868,2,2,38.0,7.4,suburb,96.7
1561,2,1,12.0,13.7,outskirts,64.3
1619,3,2,32.0,2.4,city_center,142.8
1361,1,1,5.0,3.5,suburb,107.1
1388,2,1,29.0,11.0,suburb,95.8
1530,2,2,32.0,12.7,outskirts,73.2
2332,4,4,33.0,5.2,suburb,164.4
1806,4,3,39.0,12.1,city_center,166.7
1468,3,3,28.0,5.2,outskirts,84.0
1181,2,1,39.0,5.7,suburb,70.4
1151,2,2,11.0,5.2,suburb,86.5
2381,3,2,21.0,4.0,city_center,231.1
1779,3,3,9.0,3.0,suburb,118.0
1537,3,2,3.0,8.3,city_center,162.0
1310,1,1,18.0,14.3,suburb,104.7
890,2,1,29.0,11.8,suburb,72.8
1463,2,1,31.0,25.2,suburb,68.6
1981,4,3,1.0,7.0,suburb,162.6
1284,2,1,38.0,10.0,outskirts,71.2
1375,2,1,10.0,4.8,suburb,129.4
1378,2,2,,8.4,city_center,133.0
1560,3,3,33.0,13.6,outskirts,89.1
624,1,1,36.0,9.5,city_center,83.5
1371,2,2,29.0,4.5,suburb,117.0
1030,1,1,13.0,4.1,suburb,105.8
1987,2,1,19.0,5.5,suburb,138.1
1076,2,2,33.0,3.7,suburb,68.8
1817,3,2,,3.4,suburb,149.5
2338,3,2,32.0,8.8,suburb,176.4
1328,2,2,31.0,3.2,suburb,110.2
1169,2,2,19.0,4.7,suburb,101.1
1605,2,2,36.0,10.0,suburb,133.5
1499,2,1,15.0,2.0,suburb,110.2
954,1,1,30.0,11.1,suburb,75.8
1754,3,3,26.0,4.0,suburb,126.4
2609,3,2,13.0,3.0,suburb,190.1
1358,3,3,21.0,6.4,suburb,112.2
1388,2,2,24.0,5.7,outskirts,99.1
925,1,1,21.0,6.5,outskirts,38.9
1675,3,2,4.0,16.6,suburb,118.1
814,1,1,40.0,8.2,suburb,36.2
891,1,1,39.0,2.6,outskirts,48.8
2204,3,3,1.0,5.9,city_center,199.9
1002,2,1,38.0,9.9,outskirts,50.5
2095,4,4,21.0,9.1,suburb,141.0
2338,3,2,5.0,4.0,suburb,173.7
1643,3,3,33.0,5.7,outskirts,108.1
1804,3,3,17.0,5.2,suburb,137.6
2574,3,3,29.0,3.3,outskirts,160.1
1392,2,2,,7.5,outskirts,79.6
1174,2,2,22.0,5.2,city_center,126.9
756,1,1,2.0,7.0,suburb,57.9
1523,2,1,33.0,8.2,outskirts,91.3
2314,3,2,28.0,5.1,city_center,198.4
2028,3,2,36.0,16.8,suburb,136.2
982,1,1,11.0,8.6,outskirts,32.2
1030,1,1,31.0,6.9,city_center,89.5
1223,2,2,35.0,8.3,city_center,95.9
1661,3,3,14.0,16.1,suburb,107.9
1387,3,3,16.0,3.9,suburb,131.7
1618,3,2,13.0,12.0,suburb,129.2
1663,3,3,0.0,3.8,suburb,143.7
1336,3,3,9.0,10.6,outskirts,87.8
1478,2,1,13.0,3.3,suburb,130.0
1614,3,2,4.0,6.7,suburb,131.4
1454,2,1,31.0,5.0,city_center,146.1
1777,4,4,17.0,5.9,city_center,180.0
2529,5,4,23.0,13.1,outskirts,125.7
1826,1,1,11.0,13.9,suburb,115.8
1531,2,1,14.0,7.7,outskirts,108.3
573,1,1,30.0,5.2,suburb,47.5
1713,3,2,19.0,12.8,suburb,121.2
450,1,1,24.0,3.6,suburb,44.0
725,1,1,17.0,2.8,city_center,100.9
1970,3,2,22.0,7.3,city_center,191.4
1888,3,2,36.0,7.3,suburb,126.8
1418,2,1,11.0,8.8,city_center,133.8
559,1,1,21.0,,suburb,18.0
1296,1,1,27.0,29.6,city_center,87.8
1127,2,1,3.0,4.6,suburb,82.1
1850,2,2,38.0,6.0,suburb,100.7
2742,4,3,20.0,4.9,suburb,205.5
1619,2,1,10.0,,suburb,125.1
1071,1,1,30.0,4.7,suburb,57.3
856,1,1,33.0,3.5,suburb,78.6
1469,2,2,25.0,7.0,city_center,148.5
1403,1,1,37.0,5.3,outskirts,59.1
867,1,1,4.0,9.3,suburb,87.1
1564,2,2,21.0,1.6,outskirts,78.7
867,2,1,30.0,12.2,city_center,85.2
2112,4,3,,9.1,city_center,162.9
2084,3,3,26.0,6.2,city_center,170.0
2097,4,4,24.0,5.2,outskirts,143.2
1239,2,2,16.0,9.8,suburb,80.8
1783,2,1,23.0,6.5,outskirts,88.3
1427,2,2,22.0,9.7,suburb,92.3
1286,2,2,36.0,19.7,city_center,110.9
1313,2,2,33.0,8.1,suburb,89.0
785,1,1,29.0,14.1,suburb,62.4
706,1,1,37.0,10.9,suburb,38.8
1937,3,2,3.0,5.3,outskirts,114.8
1395,1,1,31.0,15.6,city_center,111.2
1619,3,3,19.0,,outskirts,94.5
2051,3,2,30.0,4.1,suburb,135.9
547,1,1,12.0,9.4,suburb,59.0
1069,1,1,19.0,20.2,suburb,86.9
1596,2,2,33.0,13.1,suburb,94.6
1716,3,2,1.0,12.0,outskirts,110.4
1293,2,1,12.0,5.9,suburb,123.8
2066,4,3,20.0,7.7,suburb,147.0
1616,3,3,34.0,10.1,city_center,137.0
833,2,2,11.0,4.9,city_center,106.1
988,2,2,33.0,2.2,outskirts,63.1
1943,2,1,10.0,18.3,suburb,133.3
1755,2,1,12.0,5.1,suburb,132.2
456,1,1,22.0,18.3,outskirts,18.0
2241,3,3,26.0,7.0,outskirts,145.9
1829,3,3,35.0,4.4,city_center,176.6
2239,3,3,35.0,3.7,outskirts,112.9
1289,1,1,10.0,13.9,city_center,126.1
1337,2,1,30.0,6.3,suburb,99.7
880,1,1,25.0,3.1,suburb,83.4
2895,4,3,15.0,9.8,suburb,197.5
1404,2,1,31.0,7.8,suburb,91.7
2373,3,2,36.0,5.2,suburb,153.8
1144,2,1,,5.0,suburb,74.9
1590,2,1,37.0,5.0,outskirts,84.6
581,1,1,5.0,7.8,outskirts,31.5
1289,1,1,7.0,5.6,city_center,145.1
2041,2,1,31.0,3.6,city_center,163.0
812,1,1,12.0,13.5,suburb,59.0
2090,2,2,23.0,16.1,suburb,118.5
1685,3,2,20.0,7.0,suburb,115.7
926,1,1,6.0,7.9,suburb,90.3
1224,2,2,30.0,13.6,suburb,76.3
1248,1,1,30.0,5.1,outskirts,69.4
1473,2,1,6.0,9.6,outskirts,77.1
1205,2,2,10.0,15.3,outskirts,66.6
1045,1,1,32.0,6.7,suburb,54.2
1332,2,2,36.0,1.7,outskirts,70.1
935,2,2,35.0,3.4,outskirts,46.2
791,1,1,20.0,4.9,city_center,112.2
1474,2,2,15.0,7.7,outskirts,90.0
1986,2,1,18.0,2.3,city_center,179.6
659,1,1,7.0,2.7,suburb,83.8
1502,2,2,20.0,9.9,suburb,110.5
1143,2,2,,22.8,outskirts,58.5
963,1,1,6.0,,suburb,88.2
1969,4,3,,7.1,outskirts,127.0
1215,1,1,3.0,14.7,city_center,121.4
2324,3,3,19.0,14.4,city_center,192.7
1071,2,2,28.0,13.7,city_center,104.4
1713,2,2,26.0,3.3,suburb,130.1
1375,1,1,39.0,20.7,suburb,82.0
1085,1,1,35.0,2.9,city_center,125.3
1823,2,1,25.0,6.4,city_center,158.2
1415,2,1,36.0,1.2,suburb,90.6
1832,4,3,18.0,9.4,suburb,139.6
1474,3,2,32.0,6.8,outskirts,83.3
903,1,1,11.0,11.3,suburb,86.0
1444,2,1,21.0,6.6,outskirts,79.4
1529,2,2,39.0,3.4,outskirts,79.9
2027,3,3,24.0,7.4,suburb,153.0
1002,1,1,20.0,2.8,suburb,78.9
1478,2,1,31.0,,city_center,115.7
553,1,1,12.0,2.3,suburb,86.0
1858,3,2,33.0,11.3,suburb,141.9
905,1,1,1.0,3.7,suburb,97.0
507,1,1,10.0,4.7,city_center,99.0
1467,1,1,7.0,5.4,suburb,102.8
2108,3,3,10.0,12.0,city_center,192.3
662,1,1,38.0,7.9,outskirts,23.7
902,2,1,1.0,8.4,suburb,91.3
1091,1,1,12.0,2.9,city_center,123.0
879,2,1,23.0,12.4,suburb,68.5
1709,4,3,28.0,6.6,suburb,129.2
1056,2,2,31.0,5.8,city_center,121.6
1103,1,1,15.0,16.9,suburb,90.5
1821,3,3,9.0,13.2,city_center,173.0
1084,2,2,34.0,8.1,city_center,94.5
1738,2,1,5.0,12.1,outskirts,90.5
966,1,1,3.0,3.5,suburb,72.9
833,1,1,9.0,7.1,suburb,66.4
491,1,1,20.0,8.8,suburb,54.8
2524,4,3,38.0,6.1,suburb,175.7
1324,1,1,29.0,5.1,suburb,86.5
1634,2,1,23.0,7.3,suburb,120.5
1483,2,1,21.0,3.5,suburb,106.4
1588,2,1,28.0,7.4,suburb,94.6
1527,2,2,25.0,14.7,outskirts,58.0
2550,4,3,13.0,10.8,city_center,205.5
929,1,1,4.0,9.3,city_center,133.1
643,2,1,8.0,5.5,suburb,58.2
943,1,1,31.0,22.7,outskirts,36.8
766,1,1,25.0,8.3,outskirts,51.8
1911,2,1,32.0,3.9,suburb,129.7
1951,3,3,2.0,23.9,suburb,129.5
971,2,2,36.0,23.1,suburb,43.5
735,1,1,15.0,8.4,outskirts,39.8
1305,1,1,37.0,11.5,city_center,121.8
2265,4,4,,,suburb,159.3
450,1,1,22.0,8.9,outskirts,31.4
1790,2,1,,12.7,suburb,126.5
908,3,3,25.0,5.3,city_center,124.0
2072,4,4,27.0,5.3,suburb,157.6
907,1,1,6.0,4.2,city_center,120.1
1343,2,1,24.0,10.3,suburb,100.6
672,2,2,14.0,8.0,suburb,55.4
963,2,1,3.0,7.6,outskirts,71.8
2262,3,2,5.0,14.0,city_center,196.7
1951,3,3,19.0,5.8,city_center,169.8
1279,2,2,11.0,7.3,suburb,130.7
1021,1,1,31.0,10.6,outskirts,31.5
458,1,1,5.0,21.6,city_center,61.9
1283,2,2,1.0,21.4,suburb,94.7
1483,2,1,40.0,12.1,city_center,103.8
1454,2,1,13.0,8.7,suburb,101.9
1448,1,1,20.0,11.8,city_center,113.2
883,1,1,8.0,11.9,suburb,60.9
1464,2,2,8.0,14.0,suburb,105.9
1479,2,2,16.0,7.9,suburb,115.9
2210,4,4,32.0,,suburb,174.7
2527,4,4,2.0,12.0,city_center,229.0
1425,2,2,33.0,6.1,city_center,150.6
1079,2,2,40.0,8.1,suburb,82.4
1464,2,2,22.0,5.0,city_center,141.1
1166,2,2,14.0,9.2,city_center,142.6
1092,1,1,9.0,3.2,suburb,89.7
1468,3,2,,6.7,suburb,117.2
926,1,1,13.0,12.1,outskirts,64.9
1833,3,3,34.0,7.0,suburb,137.4
1443,2,1,0.0,6.6,suburb,124.1
1638,2,1,31.0,16.2,outskirts,84.2
1399,2,1,27.0,27.3,outskirts,59.4
1100,1,1,1.0,7.3,suburb,78.7
979,1,1,3.0,6.9,city_center,121.6
1369,2,2,29.0,4.2,suburb,89.2
1198,2,1,27.0,9.8,city_center,123.8
1629,2,2,13.0,14.0,suburb,105.5
1498,1,1,34.0,9.7,city_center,145.0
751,1,1,8.0,6.1,suburb,79.5
1537,1,1,17.0,11.0,city_center,129.5
761,1,1,5.0,8.3,outskirts,47.4
1161,2,2,26.0,6.5,city_center,111.0
1338,2,2,3.0,4.0,suburb,118.0
450,1,1,7.0,10.4,outskirts,32.9
1550,2,2,31.0,,suburb,109.5
1583,3,3,20.0,16.4,suburb,86.3
1413,2,2,26.0,5.4,suburb,101.9
1267,2,1,29.0,8.7,suburb,97.5
1295,2,1,24.0,10.6,suburb,97.0
963,3,3,8.0,5.9,city_center,146.1
1352,3,2,28.0,6.7,suburb,90.1
1196,2,2,5.0,,city_center,145.7
1550,2,2,11.0,10.2,city_center,142.9
838,2,2,18.0,19.2,city_center,97.1
1630,2,1,5.0,10.9,outskirts,102.6
1579,2,1,4.0,2.9,suburb,139.9
1422,2,1,26.0,4.5,suburb,100.7
1258,1,1,30.0,7.9,suburb,87.7
1804,3,3,15.0,12.2,outskirts,91.4
584,1,1,16.0,9.2,suburb,38.0
1753,4,3,8.0,11.6,suburb,145.3
1634,2,2,21.0,5.0,suburb,120.9
1656,2,2,23.0,28.9,suburb,68.7
1711,2,2,37.0,6.8,outskirts,78.5
1140,2,2,,2.8,suburb,109.1
1357,3,3,36.0,8.3,suburb,117.4
1850,2,1,,20.9,outskirts,87.3
1737,2,2,14.0,4.4,city_center,176.9
1614,1,1,29.0,11.5,city_center,114.2
667,1,1,33.0,10.6,outskirts,21.2
1796,3,2,26.0,18.6,outskirts,95.2
2143,3,2,12.0,9.8,city_center,194.0
2055,2,2,25.0,13.3,city_center,170.7
1629,2,1,35.0,9.7,city_center,138.5
643,1,1,4.0,10.8,suburb,84.2
2018,3,3,19.0,4.5,city_center,203.3
1419,2,2,1.0,3.9,suburb,122.2
450,1,1,34.0,9.3,suburb,24.9
1707,1,1,31.0,8.1,city_center,168.9
679,1,1,2.0,8.9,outskirts,37.4
787,2,2,30.0,16.0,suburb,68.5
1151,1,1,28.0,3.4,suburb,109.9
2200,3,3,,7.9,suburb,152.9
1296,2,1,21.0,15.2,suburb,92.2
1649,2,2,28.0,3.5,suburb,116.1
2461,3,3,13.0,4.4,city_center,219.9
2377,3,2,20.0,2.1,suburb,176.9
1443,2,2,39.0,11.6,suburb,114.4
1367,2,1,25.0,10.5,suburb,103.9
807,1,1,20.0,2.8,city_center,108.7
1118,2,2,3.0,15.1,suburb,103.4
1734,2,1,,6.0,suburb,132.0
1718,2,2,34.0,6.5,outskirts,86.9
1561,2,2,30.0,10.6,city_center,166.2
2047,3,2,33.0,12.6,outskirts,97.6
1075,2,2,23.0,4.2,suburb,84.9
1469,2,1,23.0,9.3,city_center,140.8
1902,3,3,21.0,7.6,city_center,161.0
1821,3,3,29.0,17.3,outskirts,65.5
2089,4,4,13.0,5.0,city_center,211.1
1718,3,2,20.0,17.2,city_center,141.3
1330,2,1,19.0,2.1,suburb,103.6
1699,2,1,26.0,11.4,outskirts,83.7
949,2,1,9.0,18.3,outskirts,35.7
