shopper_id,visits_per_month,avg_session_minutes,avg_order_value,discount_usage_pct,cart_abandon_pct
C094,14.9,2.0,610.0,75.8,45.2
C095,16.5,8.3,455.0,86.2,33.2
C096,7.5,22.1,3263.0,18.2,5.6
C097,15.0,5.1,182.0,70.6,40.5
C098,8.3,12.0,3231.0,16.1,0.0
C099,2.4,2.2,4805.0,28.2,17.4
C100,11.4,15.0,3521.0,8.5,11.8
C101,7.9,24.9,405.0,34.3,86.4
C102,1.0,14.6,351.0,14.4,82.3
C103,17.5,7.2,511.0,70.4,22.4
C104,18.2,9.7,375.0,93.0,47.4
C105,3.2,7.7,6658.0,19.0,10.7
C106,14.0,19.7,339.0,20.3,76.7
C107,19.1,8.1,324.0,79.2,37.8
C108,9.9,15.5,194.0,28.7,83.5
C109,12.9,7.8,286.0,71.6,33.0
C110,11.5,19.2,83.0,46.2,72.9
C111,8.3,7.9,694.0,76.1,27.7
C112,10.9,13.3,2821.0,9.4,14.7
C113,17.2,9.2,429.0,77.1,44.8
C114,10.3,38.3,225.0,32.0,71.9
C115,7.2,14.5,3458.0,1.5,6.3
C116,4.0,14.6,6315.0,25.5,23.6
C117,17.9,9.5,286.0,79.3,31.4
C118,13.1,5.3,448.0,90.6,48.9
C119,15.4,6.1,528.0,57.1,25.6
C120,11.2,10.4,3637.0,13.2,13.9
C121,11.7,7.1,671.0,72.9,32.8
C122,8.3,13.9,475.0,31.5,72.7
C123,7.5,13.0,3523.0,18.9,8.4
C124,12.2,28.9,125.0,53.9,98.2
C125,15.9,22.5,125.0,40.2,82.6
C126,9.4,14.9,194.0,17.3,76.7
C127,13.2,7.5,562.0,56.1,43.2
C128,8.6,14.7,1224.0,12.2,5.7
C129,6.8,8.6,275.0,76.9,36.7
C130,14.5,10.7,506.0,76.3,47.0
C131,11.2,16.5,182.0,22.6,67.1
C132,8.7,15.8,2723.0,13.4,11.5
C133,13.0,24.9,242.0,20.2,72.5
C134,12.3,5.7,512.0,80.5,32.0
C135,2.3,12.2,5895.0,24.6,28.0
C136,11.6,6.4,544.0,67.5,32.6
C137,15.7,2.1,536.0,82.7,27.6
C138,8.7,7.1,334.0,83.5,35.1
C139,1.6,13.5,4774.0,24.1,24.7
C140,11.1,27.0,145.0,18.7,79.2
C141,8.2,7.8,531.0,79.5,24.8
C142,7.2,20.0,334.0,39.1,74.7
C143,12.0,7.0,585.0,59.8,49.5
C144,3.5,9.5,5091.0,18.6,15.0
C145,13.9,8.4,293.0,70.6,22.7
C146,2.9,14.5,6015.0,34.4,22.6
C147,11.6,22.6,267.0,23.9,80.9
C148,17.2,5.7,564.0,54.0,30.5
C149,1.7,13.7,4820.0,35.7,16.3
C150,11.6,17.2,248.0,43.9,87.4
C151,13.1,14.5,247.0,45.0,68.3
C152,14.3,15.1,224.0,45.4,69.4
C153,5.0,18.6,87.0,43.5,74.2
C154,2.0,9.6,4029.0,46.3,16.1
C155,8.5,16.7,2702.0,13.5,23.8
C156,5.9,9.5,2799.0,29.5,13.6
C157,13.7,9.6,298.0,72.6,50.5
C158,9.1,18.8,182.0,35.7,64.4
C159,2.4,34.5,437.0,22.3,69.5
C160,1.0,6.2,5655.0,24.9,22.7
C161,1.0,10.1,3668.0,36.2,20.6
C162,5.6,21.2,260.0,46.4,72.2
C163,8.0,12.6,3235.0,21.9,16.8
C164,11.8,27.9,299.0,46.1,75.4
C165,10.5,10.7,341.0,90.4,31.5
C166,2.6,14.3,5388.0,12.0,23.7
C167,15.8,10.1,442.0,83.3,23.3
C168,12.5,18.5,282.0,37.6,75.6
C169,13.5,26.4,240.0,33.4,79.5
C170,16.3,8.3,360.0,68.7,29.2
C171,3.6,14.4,6375.0,27.3,27.4
C172,10.2,13.1,3446.0,12.2,9.4
C173,7.0,22.6,229.0,32.3,88.8
C174,9.7,24.9,256.0,19.8,75.8
C175,10.3,5.9,492.0,80.7,23.0
C176,15.0,17.1,379.0,49.6,79.3
C177,16.2,9.2,303.0,68.7,49.6
C178,8.8,7.7,353.0,52.9,44.8
C179,7.5,17.8,3924.0,2.7,0.0
C180,1.0,10.5,6007.0,26.6,27.9
C181,15.5,7.9,464.0,78.3,44.3
C182,13.6,7.7,424.0,83.0,29.4
C183,11.5,8.9,435.0,53.6,34.5
C184,3.0,3.9,5397.0,36.7,24.4
C185,9.5,10.2,165.0,26.7,79.6
C186,9.1,9.2,2305.0,9.1,15.3
C187,9.6,14.1,3910.0,7.3,9.3
C188,18.4,10.7,578.0,70.8,35.8
C189,10.8,19.9,179.0,34.1,79.9
C190,9.9,6.9,470.0,62.6,32.6
C191,9.6,17.9,3832.0,10.9,7.8
C192,13.3,24.9,50.0,36.8,84.5
C193,13.7,7.0,352.0,81.2,28.9
C194,10.4,24.1,230.0,33.0,69.3
C195,3.6,15.5,6225.0,26.4,31.9
C196,11.7,10.0,399.0,84.8,43.1
C197,8.2,13.6,118.0,16.8,74.3
C198,13.5,9.6,436.0,80.7,40.4
C199,10.1,17.7,3192.0,15.7,8.3
C200,11.1,4.9,243.0,88.2,34.0
C201,11.0,28.9,179.0,48.3,76.0
C202,7.6,16.2,3820.0,17.2,15.1
C203,9.2,10.6,2969.0,6.3,16.4
C204,9.0,24.5,3813.0,10.7,10.7
C205,6.5,19.8,3032.0,6.0,18.1
C206,16.5,10.0,410.0,71.0,48.3
C207,16.1,7.8,483.0,82.1,37.2
C208,1.4,11.0,7472.0,22.9,25.7
C209,2.5,14.8,5658.0,22.7,16.2
C210,9.8,24.9,266.0,27.3,66.9
C211,9.3,11.4,2743.0,16.2,15.6
C212,7.9,19.2,2377.0,11.7,22.6
C213,9.3,18.9,303.0,35.0,74.6
C214,11.2,24.8,228.0,50.0,72.9
C215,6.3,32.9,301.0,35.4,81.5
C216,14.0,22.4,138.0,45.8,71.8
C217,18.0,4.7,361.0,78.2,44.4
C218,5.0,12.1,2606.0,11.4,12.6
C219,9.2,23.1,173.0,40.6,67.1
C220,15.4,8.2,403.0,83.5,34.1
C221,17.5,8.2,476.0,73.4,38.0
C222,8.8,27.1,292.0,65.3,75.6
C223,1.7,13.1,2851.0,44.4,25.1
C224,3.9,8.3,4222.0,34.9,11.3
C225,11.2,8.1,330.0,79.6,28.7
C226,8.5,17.2,3542.0,5.4,8.3
C227,8.7,20.1,1839.0,11.2,13.7
C228,5.9,18.6,2741.0,8.6,14.8
C229,11.4,13.6,2338.0,28.1,11.1
C230,11.4,23.0,211.0,22.0,83.4
C231,10.7,13.9,4085.0,14.4,26.6
C232,12.1,18.9,139.0,29.3,68.6
C233,2.4,11.7,5470.0,28.9,29.1
C234,12.4,7.2,503.0,67.6,25.0
C235,2.8,12.7,3900.0,16.1,19.6
C236,3.3,10.8,4627.0,10.5,23.9
C237,7.3,17.9,3795.0,12.4,4.0
C238,13.4,7.8,337.0,85.8,28.6
C239,16.3,12.4,431.0,95.3,28.2
C240,1.0,15.8,4979.0,4.0,26.0
C241,8.4,33.3,158.0,28.2,77.9
C242,10.3,18.0,2732.0,7.1,22.6
C243,19.0,6.8,367.0,80.7,21.8
C244,10.8,7.4,523.0,69.5,32.2
C245,12.6,8.4,578.0,77.0,33.2
C246,15.0,8.8,400.0,76.1,40.4
C247,1.8,13.1,4829.0,30.3,21.0
C248,17.7,3.7,707.0,76.6,34.5
C249,9.4,16.2,305.0,43.9,71.5
C250,10.3,28.2,278.0,30.3,81.6
C251,2.4,10.2,5315.0,26.9,27.7
C252,14.5,5.7,333.0,88.9,33.8
C253,2.2,14.9,3634.0,32.8,28.0
C254,1.0,11.2,5325.0,30.9,34.2
C255,12.4,14.6,341.0,36.3,74.5
C256,9.2,26.6,361.0,37.2,78.5
C257,9.3,27.1,220.0,51.0,83.6
C258,1.4,15.0,6025.0,33.4,26.2
C259,11.1,7.2,627.0,60.7,25.2
C260,2.8,9.9,4659.0,16.7,29.5
C261,1.0,7.6,6700.0,29.8,21.5
C262,1.6,24.2,4993.0,27.0,6.0
C263,15.9,8.5,401.0,75.5,48.8
C264,2.7,7.6,5646.0,21.5,16.0
C265,15.3,32.0,337.0,0.0,73.2
C266,5.6,16.8,2735.0,15.7,15.5
C267,2.5,8.6,5905.0,28.8,25.0
C268,9.3,27.3,266.0,26.0,78.3
C269,11.7,17.3,3485.0,14.3,13.8
C270,14.8,25.3,296.0,35.4,83.4
C271,15.5,6.0,312.0,90.4,34.1
C272,10.5,12.2,418.0,80.9,23.3
C273,14.0,7.4,342.0,82.0,32.4
C274,8.3,12.2,4791.0,23.9,15.9
C275,15.2,7.8,540.0,64.0,27.2
C276,12.0,7.6,412.0,71.7,43.9
C277,13.5,19.2,306.0,31.2,70.3
C278,15.8,6.5,420.0,67.9,28.7
C279,8.3,34.7,375.0,13.2,73.1
C280,15.2,7.4,364.0,88.4,22.3
C281,6.7,28.7,300.0,57.5,90.4
C282,8.0,14.9,2286.0,0.0,14.7
C283,6.4,16.3,3981.0,12.9,11.8
C284,11.2,17.3,2167.0,25.3,15.9
C285,16.0,8.5,590.0,76.4,40.4
C286,14.2,8.7,450.0,67.9,52.1
C287,5.7,17.5,2224.0,19.2,15.6
C288,13.2,6.8,497.0,88.5,36.7
C289,4.2,19.0,2717.0,19.6,11.7
C290,3.0,13.7,4616.0,19.4,7.5
C291,12.5,21.8,250.0,41.8,79.1
C292,7.1,10.2,605.0,74.3,22.4
C293,8.0,24.0,2988.0,18.1,13.0
C294,18.0,6.7,476.0,72.2,44.9
C295,5.7,35.5,130.0,35.0,63.1
C296,16.9,7.8,413.0,77.3,48.4
C297,8.7,11.0,2978.0,18.8,7.9
C298,10.8,25.4,182.0,49.2,84.3
C299,11.4,16.7,1668.0,11.8,17.9
C300,13.2,5.6,509.0,82.2,34.2
C301,9.3,19.1,2739.0,19.3,3.8
C302,14.5,27.5,230.0,25.7,81.4
C303,12.7,7.7,276.0,85.6,38.5
C304,7.9,25.1,136.0,44.1,80.4
C305,10.9,24.8,317.0,39.0,77.4
C306,7.7,24.4,399.0,34.8,82.8
C307,2.2,17.9,3556.0,6.0,19.2
C308,12.9,5.5,549.0,68.0,41.1
C309,1.0,7.6,7009.0,12.4,19.8
C310,1.6,12.4,6201.0,20.8,23.6
C311,11.8,16.0,86.0,24.9,90.2
C312,11.0,7.7,618.0,68.1,38.9
C313,18.6,7.5,132.0,96.9,36.7
C314,7.7,15.8,1742.0,0.0,7.0
C315,14.7,29.1,249.0,26.3,86.8
C316,15.5,9.7,594.0,61.3,23.5
C317,8.4,31.7,228.0,25.8,91.4
C318,20.0,9.6,562.0,71.8,25.3
C319,16.7,13.8,233.0,21.5,65.6
C320,8.5,8.3,646.0,83.3,32.8
C321,9.1,22.2,385.0,19.1,76.0
C322,11.1,20.4,497.0,24.5,77.4
C323,5.8,18.0,3116.0,21.2,9.9
C324,9.4,24.2,349.0,21.4,80.7
C325,4.2,25.2,2751.0,14.7,16.6
C326,10.0,27.8,276.0,29.0,81.6
C327,8.0,15.9,3367.0,13.2,13.6
C328,1.1,10.5,6513.0,19.0,4.2
C329,15.1,8.5,548.0,56.1,29.2
C330,2.8,7.3,5269.0,22.5,19.5
C331,1.7,12.9,6463.0,34.7,14.3
C332,9.6,25.9,416.0,36.1,60.7
C333,2.0,10.5,7045.0,18.5,13.3
C334,7.5,14.4,3819.0,9.7,16.2
C335,16.7,9.5,358.0,72.9,48.2
C336,7.5,13.7,2928.0,12.8,14.4
C337,12.9,21.2,314.0,40.5,82.4
C338,12.5,25.2,140.0,24.7,96.8
C339,2.7,1.9,7243.0,37.1,10.1
C340,16.9,5.3,513.0,83.7,27.1
C341,11.2,22.0,366.0,52.4,85.5
C342,6.5,21.7,332.0,34.6,60.5
C343,13.7,9.2,443.0,77.5,35.1
C344,1.7,6.1,5832.0,15.1,16.7
C345,10.0,18.4,3995.0,11.8,10.0
C346,18.7,6.2,601.0,85.5,29.8
C347,6.4,12.5,122.0,25.4,76.3
C348,14.4,7.8,451.0,89.7,50.8
C349,2.7,40.8,358.0,41.9,75.3
C350,12.0,11.1,390.0,73.2,43.0
C351,14.0,11.2,370.0,67.0,29.0
C352,9.0,13.5,3550.0,20.4,18.7
C353,1.0,7.3,6323.0,32.9,22.4
C354,7.3,12.4,417.0,45.7,77.8
C355,18.6,5.0,463.0,87.3,43.0
C356,19.4,8.6,507.0,83.1,46.2
C357,3.1,11.2,4302.0,13.6,25.3
C358,8.3,21.2,3633.0,5.0,13.1
C359,7.5,21.1,4222.0,7.9,8.0
C360,5.3,7.6,2875.0,12.8,18.6
C361,2.2,4.7,6181.0,38.8,22.9
C362,13.3,27.7,256.0,47.9,72.9
C363,10.0,23.3,209.0,33.1,77.5
C364,10.0,7.3,572.0,77.6,23.6
C365,8.6,16.5,3514.0,7.8,19.0
C366,10.8,14.6,4400.0,17.7,12.5
C367,18.9,8.2,450.0,62.6,27.5
C368,7.9,18.4,2884.0,7.9,13.7
C369,9.2,11.4,2150.0,14.1,13.5
C370,19.8,10.9,558.0,81.1,36.5
C371,2.6,8.8,4929.0,25.2,14.7
C372,1.0,9.6,4222.0,17.6,26.0
C373,7.1,19.6,3541.0,12.5,5.0
C374,7.7,34.2,62.0,43.6,79.3
C375,9.0,5.2,3159.0,15.6,11.3
C376,1.0,8.8,7369.0,17.4,11.4
C377,13.1,8.9,369.0,89.9,15.1
C378,12.3,26.1,224.0,33.1,72.2
C379,11.4,26.0,173.0,30.7,86.6
C380,13.9,4.4,393.0,85.4,52.5
C381,6.4,6.9,430.0,73.4,39.1
C382,10.0,11.8,3454.0,8.6,18.7
C383,10.9,6.9,527.0,74.4,42.1
C384,14.0,7.1,285.0,57.9,34.3
C385,1.7,15.7,5419.0,33.0,15.7
C386,8.5,21.9,308.0,37.9,80.2
C387,2.1,7.1,4345.0,18.3,17.7
C388,9.5,32.6,196.0,35.6,62.9
C389,10.6,9.1,570.0,73.0,37.7
C390,9.7,28.4,399.0,38.8,88.0
C391,10.9,23.9,182.0,20.2,86.8
C392,12.0,29.6,80.0,27.3,80.8
C393,17.3,7.5,561.0,67.5,35.1
C394,10.5,4.9,286.0,76.1,27.9
C395,8.3,9.4,544.0,46.8,25.9
C396,8.4,18.5,414.0,53.5,93.0
C397,13.0,20.7,176.0,40.8,78.0
C398,6.4,24.0,249.0,40.9,69.0
C399,5.1,11.3,5008.0,24.2,12.5
C400,18.0,8.1,443.0,80.3,22.2
C401,1.3,12.4,6596.0,18.9,28.6
C402,15.6,9.1,417.0,81.0,41.4
C403,12.0,25.9,429.0,30.1,69.6
C404,11.9,10.5,448.0,72.5,45.3
C405,4.5,21.2,4086.0,0.0,12.4
C406,2.1,10.4,4117.0,49.1,27.2
C407,10.5,6.3,689.0,96.4,34.3
C408,14.3,8.3,570.0,75.5,42.4
C409,1.6,11.3,4446.0,18.7,19.6
C410,16.6,6.5,395.0,64.4,29.7
C411,13.5,6.2,555.0,79.1,31.0
C412,2.3,10.8,8904.0,8.2,23.4
C413,15.2,15.7,175.0,52.8,63.5
C414,8.5,19.6,3465.0,3.3,11.5
C415,2.6,5.0,6814.0,33.3,27.5
C416,16.4,22.6,506.0,22.2,70.3
C417,13.1,7.6,530.0,87.3,40.2
C418,12.4,8.5,387.0,76.9,44.5
C419,2.6,19.0,6603.0,32.9,23.0
C420,11.6,9.4,349.0,82.0,30.8
C421,1.2,12.9,4071.0,18.2,26.0
C422,13.5,7.8,406.0,79.6,35.4
C423,5.9,14.2,3993.0,11.2,8.4
C424,10.8,29.0,347.0,67.8,73.5
C425,2.8,10.5,4172.0,11.8,30.9
C426,2.7,10.1,5480.0,25.6,5.6
C427,16.6,25.9,143.0,14.8,74.9
C428,13.9,8.8,403.0,69.7,26.8
C429,8.5,9.5,3689.0,11.2,24.2
C430,10.7,19.5,4816.0,11.4,12.9
C431,2.7,18.6,5781.0,1.9,9.3
C432,8.7,7.3,2823.0,13.4,7.1
C433,3.1,15.6,4558.0,29.9,14.0
C434,7.9,21.0,203.0,33.3,68.6
C435,8.7,19.3,206.0,42.0,84.1
C436,9.9,17.0,2019.0,17.2,2.5
C437,12.4,7.4,366.0,98.5,40.7
C438,10.6,19.0,198.0,18.8,73.0
C439,7.5,8.9,352.0,74.2,27.5
C440,10.8,14.6,3784.0,12.4,15.8
C441,17.1,7.0,383.0,63.0,33.6
C442,2.0,14.4,4842.0,15.5,19.8
C443,8.1,22.7,114.0,33.7,67.8
C444,1.2,19.1,3701.0,32.2,24.5
C445,7.6,14.0,476.0,37.8,64.3
C446,2.2,19.6,6637.0,22.6,33.0
C447,9.5,8.2,2492.0,5.3,14.0
C448,9.2,15.3,2492.0,14.0,8.6
C449,1.4,13.5,5239.0,20.0,17.5
C450,12.4,30.2,248.0,24.2,86.0
C451,2.5,5.8,4709.0,18.0,19.5
C452,6.4,7.9,2807.0,19.0,12.8
C453,4.1,32.8,396.0,25.1,81.2
C454,12.3,8.4,269.0,75.5,36.8
C455,15.4,20.6,50.0,19.6,69.7
C456,18.9,7.4,560.0,81.9,32.5
C457,7.4,11.0,3730.0,16.5,16.6
C458,4.3,8.3,3754.0,23.7,18.9
C459,11.4,15.4,166.0,32.6,68.1
C460,1.9,14.6,8583.0,7.1,15.3
C461,6.8,6.4,4363.0,20.1,3.7
C462,5.5,23.1,3513.0,17.4,17.1
C463,11.6,9.7,554.0,67.8,39.4
C464,3.4,14.8,6008.0,32.2,28.1
C465,7.6,17.2,4554.0,13.4,13.2
C466,7.3,14.6,3044.0,7.6,4.9
C467,11.1,23.4,318.0,30.6,78.4
C468,12.0,16.9,285.0,51.7,67.5
C469,9.2,14.9,2687.0,0.0,21.9
C470,15.3,9.3,377.0,95.4,43.7
C471,1.0,10.0,4665.0,43.9,26.4
C472,9.9,17.7,244.0,19.7,77.1
C473,12.9,8.3,546.0,69.1,32.5
C474,9.3,13.8,3129.0,14.3,17.3
C475,8.5,20.6,173.0,49.1,84.4
C476,14.3,5.2,493.0,86.1,27.7
C477,10.7,8.2,299.0,66.8,37.0
C478,1.3,12.7,5432.0,22.0,28.0
C479,10.0,24.2,220.0,20.1,91.3
C480,5.7,24.5,247.0,6.1,78.3
C481,2.0,15.6,7507.0,22.6,9.3
C482,12.0,10.0,380.0,74.0,48.3
C483,13.5,14.7,3146.0,8.2,14.1
C484,4.9,24.8,200.0,35.4,89.2
C485,7.9,14.1,3028.0,8.6,15.3
C486,18.8,9.3,485.0,94.1,37.9
C487,9.6,16.1,407.0,40.4,88.0
C488,10.0,19.2,300.0,10.7,95.4
C489,6.8,9.5,467.0,75.2,42.0
C490,12.8,3.7,405.0,72.6,35.0
C491,9.7,29.8,184.0,40.9,93.5
C492,6.4,16.0,2981.0,11.8,14.1
C493,10.9,24.7,148.0,35.0,77.0
C494,13.7,8.7,470.0,79.4,21.6
C495,1.0,17.2,6367.0,28.9,30.6
C496,7.1,17.3,3417.0,5.7,14.0
C497,15.3,11.6,275.0,94.0,42.4
C498,12.3,6.1,501.0,69.4,24.7
C499,9.2,15.2,3441.0,9.7,19.3
C500,7.3,13.2,5097.0,15.7,11.1
