word_freq_free,word_freq_offer,num_links,num_exclamation_marks,message_length_words,sender_in_contacts,is_spam
2.73,2.19,5,9,126,0,1
0.04,0.06,0,3,119,1,0
0.05,0.0,1,1,31,1,0
5.41,0.89,4,6,42,1,1
0.0,0.08,2,2,17,1,0
0.05,0.0,1,1,58,1,0
1.4,0.37,6,7,98,0,1
0.19,0.0,0,1,95,1,0
4.43,0.64,5,5,80,0,1
0.17,0.02,2,1,150,1,0
0.0,0.05,2,1,168,1,0
1.63,1.39,8,3,65,0,1
0.42,0.0,1,1,93,0,0
1.66,2.18,5,3,93,0,1
0.0,0.01,2,0,152,1,0
0.38,0.01,0,2,100,1,0
0.0,0.02,0,2,139,1,0
0.37,0.37,1,1,166,1,0
0.01,0.0,0,2,27,1,0
1.49,0.86,5,3,86,0,1
0.01,0.0,0,3,193,1,0
0.48,0.0,1,1,149,1,0
0.04,0.0,0,3,43,1,0
7.3,1.86,7,4,61,0,1
0.14,0.01,0,1,116,1,0
0.55,0.51,0,2,107,1,0
3.06,1.06,7,6,23,0,1
0.02,0.16,2,1,101,1,0
0.18,0.23,0,0,144,0,0
0.0,0.08,3,1,127,1,0
0.23,0.32,1,0,5,1,0
0.05,0.0,0,1,162,1,0
0.27,0.4,1,1,45,1,0
4.41,1.91,5,2,66,0,1
1.66,0.56,6,5,83,1,1
0.0,0.12,1,2,92,1,0
0.03,0.07,0,1,96,1,0
2.94,1.51,6,6,48,0,1
0.27,0.0,1,2,87,1,0
0.5,6.72,5,6,70,0,1
0.1,0.01,0,2,169,1,0
0.91,1.64,3,4,107,0,1
9.03,1.6,3,2,95,0,1
0.08,0.0,1,2,79,1,0
0.03,0.55,0,0,105,1,0
3.11,1.23,1,4,108,0,1
0.01,0.01,1,0,67,1,0
0.06,0.05,1,2,216,1,0
0.05,0.6,0,0,165,1,0
0.41,0.26,0,4,187,1,0
0.0,0.0,0,2,10,1,0
0.01,0.0,1,0,126,1,0
1.8,0.55,2,6,124,1,1
1.42,0.7,3,5,82,0,1
0.0,0.01,0,2,144,0,0
0.69,0.0,0,2,116,1,0
0.5,1.97,3,3,70,1,1
0.0,0.05,0,1,122,1,0
1.7,1.74,3,5,134,0,1
1.34,0.03,1,3,63,1,0
0.0,0.0,3,0,78,1,0
0.04,0.0,0,3,68,1,0
1.43,0.69,2,4,94,0,1
2.42,1.01,3,5,97,0,1
2.04,2.42,5,4,67,0,1
1.34,1.1,4,3,129,0,1
0.04,0.02,0,0,99,1,0
0.05,0.02,0,0,131,1,0
5.3,2.53,7,7,67,0,1
1.63,3.2,3,4,97,0,1
1.47,1.06,0,2,137,1,0
1.44,3.08,5,4,85,0,1
0.92,0.0,0,0,70,1,0
0.2,0.32,1,0,93,1,0
0.03,0.02,1,0,44,0,0
1.5,0.0,1,2,145,1,0
4.92,0.59,4,9,64,0,1
2.52,1.27,5,5,24,0,1
0.22,0.3,0,0,154,1,0
4.71,0.59,5,4,122,0,1
1.16,0.02,2,1,103,1,0
0.92,1.14,7,4,77,0,1
5.75,1.15,4,4,156,0,1
2.56,2.97,3,5,92,0,1
0.0,0.01,1,0,172,1,0
1.57,5.2,3,6,140,0,1
1.27,0.21,4,4,93,0,1
0.01,0.4,1,0,163,1,0
0.0,0.02,1,0,139,1,0
1.33,2.39,5,3,65,0,1
0.05,0.05,2,0,184,1,0
0.0,0.02,0,1,268,0,0
6.34,1.38,5,4,38,0,1
0.73,4.01,0,2,111,0,1
1.56,0.53,4,1,82,0,1
0.27,0.72,1,0,137,1,0
4.66,0.27,3,4,65,0,1
0.47,0.0,3,5,85,0,0
1.89,0.77,2,8,70,0,1
0.07,0.59,1,1,117,0,0
1.9,2.04,8,5,93,0,1
3.54,5.68,3,7,70,0,1
2.19,6.28,5,2,111,0,1
0.01,0.02,1,2,255,0,0
0.52,0.02,1,0,67,0,0
0.0,0.26,1,1,139,1,0
0.01,1.11,0,0,133,1,0
1.84,1.54,7,5,103,0,1
0.2,0.03,0,2,61,1,0
2.24,3.7,4,4,101,0,1
0.98,2.38,4,2,51,0,1
1.31,1.01,2,2,147,0,1
0.07,0.07,0,2,129,1,0
1.04,0.01,0,1,21,1,0
0.02,2.38,0,1,148,1,0
0.01,0.09,1,0,74,1,0
3.88,4.18,5,3,104,0,1
0.07,0.12,1,1,189,1,0
0.02,0.0,0,0,124,1,0
0.39,1.58,7,5,44,1,1
3.6,3.03,7,4,91,0,1
0.06,0.32,0,1,80,1,0
2.68,1.7,0,3,82,0,1
0.0,0.05,1,1,227,1,0
0.19,0.07,0,1,78,1,0
0.13,0.85,0,1,130,1,0
0.0,0.03,2,1,82,1,0
0.17,0.03,1,1,79,1,0
6.96,0.69,6,7,96,0,1
0.0,0.01,0,1,202,1,0
4.03,3.21,0,8,94,0,1
0.17,0.0,1,1,74,1,0
2.28,0.91,4,8,31,0,1
0.27,0.21,0,1,72,1,0
0.53,5.11,4,4,66,1,1
0.0,0.18,0,1,118,1,0
0.0,0.0,0,1,106,1,0
0.2,0.0,1,0,72,1,0
0.94,1.18,1,1,109,0,0
0.09,0.1,1,1,113,1,0
3.65,1.22,3,5,29,0,1
3.19,3.8,4,5,51,0,1
0.08,0.05,1,0,82,0,0
2.58,1.86,0,4,120,0,1
0.13,0.04,3,1,109,1,0
4.78,1.29,5,3,28,0,1
0.02,0.03,2,0,127,1,0
0.26,0.0,0,2,216,1,0
0.3,0.29,0,4,74,1,0
0.0,0.0,0,1,135,1,0
0.12,0.03,1,1,107,1,0
0.02,1.01,0,0,110,1,0
1.29,0.97,3,6,87,0,1
2.66,0.75,6,3,102,0,1
5.35,3.04,2,6,43,0,1
1.67,0.74,8,2,135,0,1
0.37,0.23,0,0,80,1,0
3.87,0.7,4,2,75,0,1
1.11,0.0,0,1,111,1,0
0.21,0.0,0,1,217,1,0
0.64,2.79,5,6,118,0,1
0.04,0.34,1,2,161,1,0
0.03,0.0,1,1,96,1,0
1.09,0.81,12,1,153,0,1
0.0,0.02,0,0,181,1,0
0.53,0.0,1,0,29,1,0
0.0,0.74,0,2,98,1,0
6.27,2.12,6,7,69,1,1
2.65,2.51,5,1,19,0,1
0.81,0.06,1,2,75,0,0
0.16,0.37,0,1,170,0,0
0.01,0.01,0,0,136,1,0
0.09,1.8,2,0,110,1,0
0.6,1.14,5,3,108,0,1
0.18,0.05,2,0,5,1,0
4.18,3.88,4,8,78,1,1
0.0,0.0,0,0,111,1,0
0.09,0.0,1,0,17,0,0
0.03,0.2,1,1,74,1,0
0.02,0.11,0,0,56,1,0
0.27,0.15,0,0,85,1,0
4.52,3.04,6,5,109,0,1
0.03,0.09,2,1,15,1,0
2.16,1.8,6,5,142,1,1
0.08,0.03,0,1,16,1,0
0.43,0.29,1,2,116,0,0
0.01,0.17,0,4,82,0,0
0.18,0.06,0,1,174,1,0
1.27,4.78,6,7,39,0,1
3.37,0.31,4,4,140,0,1
0.84,3.38,6,6,57,1,1
0.02,0.21,0,4,64,1,0
2.62,1.11,5,2,109,0,1
3.4,1.26,4,7,74,1,1
2.1,0.31,6,2,84,0,1
0.01,0.08,0,2,105,1,0
3.87,2.22,3,2,16,0,1
1.57,0.77,2,4,65,0,1
0.01,0.17,2,0,97,0,0
0.0,0.06,1,1,167,1,0
0.0,1.48,0,3,112,1,0
0.31,0.14,1,0,97,0,0
0.0,0.02,1,0,88,1,0
1.63,1.87,5,6,95,0,1
7.42,0.96,8,2,47,0,1
0.07,0.01,1,0,124,0,0
0.59,0.16,1,0,108,1,0
1.16,1.31,0,7,135,0,1
1.98,1.87,4,4,40,0,1
0.65,2.82,1,4,135,0,1
0.32,0.15,1,3,104,1,0
1.11,0.4,1,4,101,1,1
0.82,0.06,1,5,10,0,1
2.23,3.71,3,4,83,0,1
0.67,0.63,1,0,162,1,0
0.39,0.01,2,1,101,1,0
0.37,0.13,0,0,110,0,0
0.12,0.0,2,2,46,1,0
1.03,0.83,6,9,88,0,1
0.53,0.42,2,0,180,0,0
6.25,1.1,4,5,148,0,1
0.08,0.22,0,0,72,1,0
0.38,0.02,0,0,161,0,0
0.13,0.02,0,0,114,1,0
0.0,0.08,0,1,168,0,0
2.05,0.96,5,6,130,1,1
0.17,0.0,0,2,139,1,0
4.06,2.34,2,7,156,0,1
0.0,0.06,1,2,112,1,0
0.0,0.0,2,0,35,0,0
0.02,0.02,2,1,184,1,0
2.45,2.53,4,4,100,0,1
0.23,0.01,1,1,40,0,0
3.13,4.05,5,6,36,1,1
2.15,2.59,4,2,31,0,1
3.58,5.1,2,2,23,0,1
0.02,0.27,0,0,120,0,0
0.04,0.0,1,0,67,0,0
1.43,4.93,4,7,99,0,1
3.32,0.12,7,5,55,0,1
2.76,1.51,5,4,132,0,1
9.15,1.11,2,7,142,0,1
2.64,2.13,2,9,100,0,1
0.13,0.0,4,2,156,1,0
3.85,5.13,4,5,94,0,1
0.02,0.1,0,1,65,1,0
1.77,1.75,2,11,56,0,1
0.24,0.42,0,1,102,1,0
0.38,0.0,2,0,148,1,0
0.01,0.36,0,0,120,0,0
3.17,4.08,2,8,114,0,1
5.56,2.38,5,5,48,0,1
0.11,0.02,0,0,146,1,0
2.07,3.92,7,4,99,0,1
0.39,3.77,5,8,95,0,1
0.09,0.05,1,2,156,1,0
0.01,0.0,0,0,159,1,0
6.79,0.59,3,4,89,1,1
0.74,0.12,0,0,74,1,0
0.71,0.53,3,5,120,1,1
6.04,0.46,4,9,61,0,1
0.03,0.09,3,2,61,1,0
4.17,2.5,1,3,90,0,1
3.85,2.85,2,4,101,0,1
0.14,0.0,1,1,100,1,0
5.11,2.08,3,4,108,0,1
0.01,0.28,0,2,213,1,0
4.0,0.11,5,4,45,1,1
0.04,0.0,0,1,38,1,0
0.06,0.02,0,1,220,1,0
0.05,0.13,0,1,270,1,0
4.67,5.1,3,2,118,0,1
0.1,0.0,1,1,140,1,0
1.65,3.29,6,7,93,0,1
0.12,0.16,0,1,68,0,0
3.98,0.78,3,5,101,0,1
0.04,0.19,2,0,53,0,0
0.02,0.0,0,2,240,1,0
3.73,0.25,4,5,54,0,1
0.02,0.04,2,0,137,1,0
0.05,0.0,2,0,149,1,0
0.0,0.0,0,3,114,1,0
7.06,2.0,5,2,104,0,1
2.81,0.55,5,5,119,0,1
0.01,0.0,0,1,75,1,0
0.78,0.07,0,0,148,1,0
0.26,0.04,0,2,162,1,0
0.01,0.0,0,1,50,1,0
0.65,0.72,1,2,150,0,0
0.02,0.34,0,0,144,1,0
0.26,0.23,0,1,209,1,0
1.14,0.77,6,4,115,0,1
0.0,0.0,1,1,178,1,0
0.1,0.09,1,0,121,1,0
0.06,0.0,1,0,84,1,0
0.01,0.0,0,0,175,1,0
0.02,0.26,0,4,251,1,0
0.01,0.01,1,0,95,0,0
0.01,0.25,1,2,122,1,0
0.84,1.9,1,4,99,0,1
0.24,0.04,1,2,124,1,0
3.94,2.06,4,8,76,0,1
4.01,0.9,2,6,112,0,1
0.11,0.0,0,3,138,1,0
0.11,0.02,1,0,239,0,0
0.33,0.27,0,1,57,1,0
0.03,0.36,1,0,102,0,0
0.02,0.01,0,2,52,0,0
0.24,0.04,1,1,126,1,0
0.34,0.0,0,0,231,1,0
0.08,0.23,0,0,187,1,0
0.01,0.28,1,0,37,1,0
0.04,0.0,1,1,108,1,0
4.29,1.93,2,8,113,0,1
0.0,0.01,0,0,184,1,0
3.39,1.79,2,1,82,0,1
1.92,3.83,1,4,109,0,1
2.21,3.1,8,4,117,0,1
0.0,0.22,1,0,175,1,0
0.17,0.02,0,1,176,0,0
2.49,4.01,7,7,139,0,1
1.31,0.0,0,0,157,1,0
0.01,0.45,2,0,215,1,0
0.21,0.23,0,1,226,1,0
0.03,0.11,0,3,161,1,0
2.16,2.26,1,4,69,0,1
2.2,3.32,5,3,86,0,1
8.23,1.81,3,2,58,0,1
0.07,0.33,0,0,155,0,0
0.14,0.19,1,1,165,1,0
3.04,2.16,1,8,132,0,1
0.15,0.0,0,2,121,1,0
0.22,0.01,0,1,26,0,0
1.91,1.4,2,6,94,0,1
6.15,1.17,7,9,114,0,1
0.23,0.0,1,1,50,1,0
0.26,0.0,1,1,5,1,0
0.0,0.0,2,0,193,1,0
3.44,0.39,2,5,112,0,1
0.23,0.0,0,0,212,1,0
0.03,0.01,2,0,128,1,0
0.0,0.15,0,1,146,1,0
1.36,1.14,3,1,98,0,1
0.72,0.12,1,1,73,0,0
0.0,0.0,2,0,71,1,0
0.03,0.01,0,1,129,1,0
2.64,0.68,7,4,118,0,1
2.18,1.32,4,4,177,0,1
1.02,0.93,2,5,99,0,1
0.18,0.01,2,1,141,1,0
4.61,1.84,1,7,60,0,1
1.37,1.75,3,6,90,0,1
0.02,0.0,2,0,107,0,0
0.03,0.0,0,0,95,1,0
3.34,2.3,1,5,124,0,1
0.01,0.0,1,2,52,1,0
1.19,0.25,4,7,125,0,1
0.0,0.03,3,0,43,1,0
0.53,0.0,0,2,102,1,0
0.05,0.03,2,1,173,0,0
0.09,0.56,0,0,120,0,0
0.49,1.93,2,5,90,0,1
4.1,1.16,2,3,147,0,1
0.04,0.01,3,1,194,1,0
1.38,5.06,2,6,54,0,1
0.05,0.14,0,4,135,1,0
0.01,0.09,0,0,152,1,0
0.0,0.67,0,0,47,1,0
0.09,0.0,0,1,55,1,0
1.08,2.61,6,2,132,0,1
2.2,0.53,4,4,97,1,1
0.24,0.0,2,2,160,0,0
2.22,0.63,5,5,94,0,1
0.01,0.0,0,1,108,1,0
0.61,0.15,0,2,246,0,0
3.43,2.02,6,7,84,0,1
0.05,0.27,0,2,58,0,0
3.18,2.43,5,5,145,0,1
0.0,0.0,0,1,134,1,0
1.62,1.4,4,2,153,0,1
0.19,0.02,1,1,170,1,0
3.6,2.61,6,5,76,0,1
0.02,0.6,2,1,152,1,0
0.09,0.21,0,2,77,0,0
0.0,0.05,1,1,103,0,0
0.03,0.39,1,2,230,0,0
1.07,0.25,0,1,156,0,0
0.42,0.02,1,0,41,1,0
1.22,1.3,1,3,48,1,1
0.0,0.38,0,2,102,1,0
0.03,0.53,1,0,156,1,0
0.13,0.11,0,0,237,1,0
0.38,1.21,7,10,87,0,1
6.44,1.53,2,4,159,0,1
0.2,0.0,0,0,128,0,0
5.43,0.38,7,5,102,0,1
0.01,0.0,0,1,155,1,0
0.44,0.36,1,1,152,1,0
1.87,0.0,1,0,136,1,0
0.1,0.0,0,1,81,1,0
4.62,1.68,6,7,109,1,1
0.26,0.04,0,1,132,1,0
0.18,0.74,1,0,41,1,0
0.03,0.03,0,2,175,1,0
0.3,3.33,1,7,103,0,1
1.7,0.94,2,7,131,0,1
2.87,2.66,1,11,102,0,1
2.15,2.27,3,3,126,0,1
1.35,1.67,0,10,128,0,1
1.93,1.4,1,4,36,0,1
0.85,3.18,4,4,107,0,1
2.93,0.84,1,4,115,0,1
0.07,0.6,1,3,165,1,0
0.04,0.0,2,1,105,1,0
0.01,0.01,1,2,204,0,0
0.01,0.65,1,1,83,1,0
0.13,0.0,1,0,76,0,0
0.19,0.87,2,1,85,1,0
0.0,0.45,0,1,122,1,0
0.13,0.07,1,0,91,1,0
0.0,0.0,1,1,193,1,0
0.12,0.0,1,3,5,0,0
1.49,0.25,2,7,112,0,1
3.63,1.34,1,5,140,0,1
0.01,0.01,0,1,149,1,0
0.47,0.47,4,3,177,1,1
0.0,0.0,1,2,131,1,0
0.2,0.0,1,1,93,1,0
0.03,0.02,1,1,112,0,0
0.07,0.11,2,0,83,1,0
2.29,1.81,4,7,59,0,1
2.46,4.93,3,2,55,0,1
1.32,0.33,4,7,160,0,1
1.8,3.73,4,3,105,0,1
0.12,0.44,1,0,130,0,0
0.14,0.18,2,1,10,1,0
0.03,0.41,1,1,39,1,0
0.08,0.0,0,0,78,1,0
0.9,4.86,1,8,90,0,1
0.07,0.2,2,1,5,1,0
0.03,0.0,1,1,250,1,0
1.05,1.71,4,2,104,0,1
4.93,0.59,4,6,148,0,1
0.1,0.05,0,1,114,1,0
0.0,0.0,1,1,149,0,0
3.52,1.22,4,4,79,0,1
0.02,0.1,1,4,97,0,0
0.85,1.78,5,7,31,0,1
1.24,0.54,5,4,128,0,1
0.02,0.51,2,0,119,0,0
0.95,0.09,1,2,180,1,0
6.64,2.88,5,5,142,0,1
1.18,2.5,4,6,111,0,1
3.51,3.09,6,4,74,1,1
0.21,0.07,1,2,136,0,0
1.34,1.23,7,4,88,1,1
0.0,0.0,1,2,81,1,0
0.32,1.71,7,3,126,0,1
0.26,0.02,1,0,118,1,0
0.02,0.04,1,2,107,0,0
0.0,0.06,1,2,226,1,0
0.93,0.0,1,1,236,1,0
6.38,0.68,6,8,82,0,1
2.95,1.48,5,6,147,0,1
4.05,0.21,6,5,121,0,1
0.04,0.0,0,1,184,1,0
1.26,0.49,1,0,133,0,1
0.0,0.11,1,2,106,1,0
0.16,0.24,1,1,50,0,0
0.17,0.16,0,1,15,1,0
3.78,1.88,2,4,93,0,1
0.04,0.01,0,3,272,1,0
0.03,0.01,0,0,54,0,0
0.0,0.0,1,1,158,1,0
0.46,0.18,1,1,129,1,0
0.0,0.0,4,0,148,0,0
0.1,0.08,1,0,124,1,0
2.65,1.89,5,5,103,1,1
4.1,4.97,6,4,24,0,1
4.39,2.99,10,5,95,0,1
0.13,0.0,0,0,94,0,0
0.7,3.97,6,5,80,1,1
0.01,0.0,0,0,33,0,0
0.16,0.12,1,3,120,0,0
0.01,0.05,1,1,164,0,0
6.46,0.39,0,5,114,0,1
1.21,4.39,7,2,77,0,1
1.92,0.32,3,2,64,0,1
11.92,1.6,2,5,156,0,1
0.08,0.04,1,0,41,1,0
1.07,0.27,4,3,149,0,1
2.31,2.88,6,3,119,0,1
7.33,2.82,2,5,10,0,1
