student_id,study_hours_per_week,attendance_pct,sleep_hours_per_night,screen_time_hours_per_day,practice_sessions_per_week,test_score,passed
S062,13.7,95.0,8.5,2.4,6,74,1
S063,15.1,92.6,7.6,2.3,5,84,1
S064,3.7,74.0,6.4,7.3,0,45,0
S065,11.5,83.1,8.1,4.5,2,68,1
S066,0.5,69.8,6.1,7.1,2,44,0
S067,9.6,85.6,8.1,4.1,4,79,1
S068,14.3,99.0,7.9,3.0,7,72,1
S069,10.3,84.3,7.5,4.4,1,58,0
S070,2.2,75.5,5.6,4.8,2,40,0
S071,18.1,94.9,8.2,3.1,4,78,1
S072,5.1,66.8,5.3,5.6,3,39,0
S073,6.8,84.4,7.2,4.8,2,55,0
S074,7.0,84.0,6.5,4.1,4,52,0
S075,19.1,93.9,8.2,0.8,4,88,1
S076,18.2,98.4,7.1,2.8,5,83,1
S077,10.4,80.2,8.6,5.1,4,67,1
S078,15.8,91.4,8.5,1.2,6,85,1
S079,4.3,70.4,6.4,6.3,1,47,0
S080,4.4,80.2,6.9,6.7,0,45,0
S081,19.7,87.8,8.6,0.9,5,98,1
S082,1.6,61.9,6.9,7.2,2,39,0
S083,14.9,95.3,8.7,2.1,4,71,1
S084,13.6,96.5,8.4,2.8,6,74,1
S085,15.1,92.5,8.1,2.8,6,71,1
S086,12.6,97.6,8.0,2.7,4,75,1
S087,15.0,93.6,8.6,2.3,6,80,1
S088,13.0,92.2,9.0,2.1,4,74,1
S089,8.6,80.6,6.8,1.6,3,72,1
S090,2.8,61.8,6.0,6.1,0,40,0
S091,2.9,59.6,5.8,6.4,1,41,0
S092,11.4,79.7,8.9,4.6,4,63,1
S093,7.5,82.3,6.5,7.2,1,46,0
S094,10.0,90.5,7.1,2.9,4,67,1
S095,11.1,83.0,7.1,5.1,3,63,1
S096,12.7,89.0,8.4,3.4,3,62,1
S097,16.5,92.9,8.5,1.9,3,79,1
S098,8.9,81.8,6.8,2.9,4,62,1
S099,3.8,75.1,5.6,7.3,0,40,0
S100,4.1,64.4,6.0,7.0,2,37,0
S101,9.1,85.3,7.1,4.0,4,60,1
S102,16.9,91.5,8.8,1.8,4,81,1
S103,3.7,66.6,6.2,6.7,1,41,0
S104,8.3,84.0,7.1,3.7,5,65,1
S105,7.3,84.5,7.6,2.6,2,66,1
S106,18.4,93.5,8.0,2.2,5,83,1
S107,18.2,91.3,9.1,2.5,6,84,1
S108,3.4,63.8,6.6,6.5,1,43,0
S109,11.8,90.3,8.7,3.2,5,76,1
S110,6.5,85.6,7.1,5.3,3,54,0
S111,7.0,81.0,6.8,4.1,4,61,1
S112,17.5,96.7,8.3,0.1,5,92,1
S113,17.1,92.9,8.5,2.9,4,87,1
S114,5.9,85.8,6.7,4.0,3,65,1
S115,9.8,89.8,7.2,3.9,3,60,1
S116,19.7,100.0,8.2,2.0,5,89,1
S117,2.9,69.2,5.8,6.5,1,40,0
S118,4.8,56.3,6.4,8.2,1,38,0
S119,0.4,71.9,5.8,5.6,1,35,0
S120,17.3,90.3,8.6,4.0,4,72,1
S121,15.2,93.8,7.4,3.4,5,77,1
S122,8.6,89.5,7.1,4.1,3,58,0
S123,5.9,80.3,5.3,7.3,0,45,0
S124,18.1,96.3,8.6,3.0,3,79,1
S125,19.2,100.0,8.3,2.7,5,82,1
S126,4.5,81.5,5.5,8.6,0,43,0
S127,17.1,98.7,8.6,2.8,5,85,1
S128,17.0,94.2,8.7,1.6,4,86,1
S129,4.8,83.6,6.8,6.9,0,59,0
S130,20.0,97.0,7.9,1.8,4,88,1
S131,16.2,93.2,7.2,2.3,4,80,1
S132,11.5,78.5,7.4,3.8,4,60,1
S133,9.7,75.6,7.0,4.1,1,51,0
S134,13.5,93.1,7.9,2.3,4,83,1
S135,5.3,85.6,8.1,2.7,2,54,0
S136,4.0,65.1,5.1,6.0,3,36,0
S137,10.0,79.7,7.4,4.3,3,61,1
S138,9.1,81.0,8.0,5.3,4,61,1
S139,11.0,84.3,8.0,5.5,1,58,0
S140,8.8,81.8,5.6,4.2,1,53,0
S141,11.7,95.3,8.0,2.8,4,79,1
S142,6.4,79.4,6.5,4.1,2,49,0
S143,8.8,69.4,7.0,4.8,3,48,0
S144,10.9,81.5,7.1,2.9,4,70,1
S145,12.4,83.6,7.6,4.9,3,68,1
S146,15.0,89.6,7.2,3.6,5,71,1
S147,5.4,90.6,7.6,5.1,0,46,0
S148,13.1,80.5,7.0,4.5,2,61,1
S149,16.4,94.7,8.3,2.8,4,80,1
S150,11.1,78.5,8.0,2.4,1,70,1
S151,15.4,94.5,8.6,2.4,6,77,1
S152,8.6,78.3,7.5,5.1,3,58,0
S153,11.9,85.4,6.6,4.9,3,67,1
S154,9.1,83.6,7.0,2.6,4,52,0
S155,3.7,84.2,5.8,7.2,2,51,0
S156,5.5,73.0,5.3,4.9,0,39,0
S157,4.4,70.8,4.7,5.6,2,44,0
S158,4.0,62.1,5.8,6.2,1,41,0
S159,1.6,66.8,5.8,6.3,2,44,0
S160,6.4,56.0,6.0,3.5,1,48,0
S161,15.7,97.3,9.0,1.6,5,72,1
S162,23.3,94.8,7.3,0.6,6,89,1
S163,3.6,66.5,6.5,6.3,1,42,0
S164,9.7,88.7,7.9,5.2,3,63,1
S165,8.0,77.9,7.8,4.9,2,59,0
S166,5.6,85.6,7.5,5.0,3,60,1
S167,18.4,91.5,8.6,3.6,3,84,1
S168,16.6,93.6,8.1,2.7,5,80,1
S169,1.9,67.2,6.3,7.0,2,30,0
S170,9.1,81.2,6.8,4.7,5,59,0
S171,16.3,92.5,9.1,2.2,4,84,1
S172,9.1,89.8,7.5,4.3,2,57,0
S173,8.9,86.2,6.4,4.3,2,62,1
S174,12.6,87.9,7.5,5.5,4,72,1
S175,5.8,83.1,6.7,6.2,3,53,0
S176,18.2,96.9,8.2,2.8,5,69,1
S177,8.4,88.4,7.2,3.8,3,56,0
S178,17.8,92.9,8.3,2.3,5,93,1
S179,14.3,91.4,9.4,3.6,2,73,1
S180,3.2,73.8,6.4,7.6,1,32,0
S181,5.7,69.5,6.1,5.5,0,51,0
S182,11.3,81.7,7.2,4.0,4,65,1
S183,3.6,70.4,6.2,8.0,1,46,0
S184,9.1,89.3,7.0,5.2,2,62,1
S185,6.7,83.8,7.0,5.0,3,58,0
S186,4.6,65.3,5.9,6.6,1,43,0
S187,3.7,78.8,4.8,5.4,1,47,0
S188,17.1,87.6,7.6,2.2,5,91,1
S189,7.8,85.8,7.0,6.3,3,62,1
S190,8.4,76.5,6.3,3.9,4,50,0
S191,10.8,85.8,6.6,4.5,3,65,1
S192,9.3,90.4,6.5,6.1,4,66,1
S193,17.9,94.5,8.3,3.6,4,87,1
S194,14.9,92.4,8.4,2.9,6,77,1
S195,15.5,95.6,7.7,1.3,5,87,1
S196,9.6,86.9,7.8,5.7,2,66,1
S197,19.4,91.8,8.9,3.2,6,99,1
S198,12.7,89.6,7.0,3.4,5,67,1
S199,16.7,93.2,7.7,3.1,5,77,1
S200,3.8,66.8,6.0,5.1,0,40,0
S201,3.0,76.6,5.2,6.1,1,39,0
S202,13.5,100.0,8.2,0.6,5,76,1
S203,3.9,66.8,6.7,5.8,2,31,0
S204,18.1,97.0,8.7,2.9,4,82,1
S205,15.6,92.0,7.9,1.6,5,82,1
S206,13.9,95.3,8.5,2.5,4,75,1
S207,14.0,94.5,7.9,4.1,6,86,1
S208,16.5,94.0,8.7,1.9,5,83,1
S209,9.5,86.5,6.9,3.9,3,69,1
S210,7.5,84.0,8.3,4.8,2,61,1
S211,12.5,87.8,6.4,3.9,2,69,1
S212,14.8,93.0,8.4,2.1,5,81,1
S213,5.9,71.6,6.2,8.2,1,51,0
S214,7.6,69.1,6.5,7.9,1,47,0
S215,8.2,81.1,7.0,5.2,3,60,1
S216,12.7,86.7,7.1,4.9,3,68,1
S217,4.7,63.2,4.8,6.1,1,38,0
S218,9.1,85.5,7.3,6.8,1,59,0
S219,16.9,93.7,8.9,2.4,5,95,1
S220,14.5,86.3,8.1,1.8,5,75,1
S221,3.8,75.2,4.9,5.7,0,43,0
S222,14.8,97.6,8.3,2.6,6,87,1
S223,3.0,62.0,5.5,7.9,1,41,0
S224,6.5,79.8,6.9,5.3,5,56,0
S225,6.7,87.5,5.7,4.8,3,43,0
S226,4.8,76.3,6.4,4.9,2,52,0
S227,4.9,70.6,6.4,8.9,2,32,0
S228,9.2,84.8,6.6,5.8,2,65,1
S229,5.8,73.8,5.0,6.3,1,45,0
S230,11.7,87.5,6.7,4.5,4,71,1
S231,8.9,88.8,8.1,3.4,5,63,1
S232,5.4,61.7,5.9,7.7,0,31,0
S233,5.1,84.4,6.9,6.0,2,53,0
S234,8.1,89.9,7.7,6.0,3,60,1
S235,13.7,91.7,7.5,1.3,6,75,1
S236,13.9,98.6,7.9,4.6,5,76,1
S237,17.9,92.5,7.7,4.1,3,92,1
S238,5.2,86.8,7.7,4.8,1,59,0
S239,11.7,87.5,7.7,6.1,3,70,1
S240,8.8,89.8,7.5,3.8,3,68,1
S241,14.5,89.9,8.1,4.1,6,83,1
S242,7.9,86.4,7.5,5.9,4,59,0
S243,15.4,79.8,6.7,4.2,3,58,0
S244,11.1,88.5,6.5,3.1,3,65,1
S245,9.1,87.9,7.4,4.7,3,66,1
S246,1.6,62.9,6.1,6.7,0,31,0
S247,16.1,95.4,7.0,1.5,4,78,1
S248,5.8,66.1,6.6,6.7,1,41,0
S249,5.1,63.7,5.8,9.0,0,45,0
S250,5.8,86.9,5.4,7.6,2,52,0
S251,8.2,83.4,7.5,5.1,2,61,1
S252,11.9,82.1,8.1,5.5,2,67,1
S253,4.8,66.5,6.1,8.1,2,41,0
S254,10.9,82.9,6.4,4.9,0,59,0
S255,7.0,82.7,7.6,5.3,3,51,0
S256,4.3,70.2,6.3,6.0,0,32,0
S257,16.8,95.4,7.7,3.5,4,80,1
S258,9.5,79.4,7.2,5.3,3,61,1
S259,8.0,82.8,7.2,4.7,2,64,1
S260,14.7,94.7,7.6,1.9,5,86,1
S261,13.4,95.1,8.1,2.8,5,84,1
S262,9.5,85.9,7.8,4.3,4,59,0
S263,3.9,81.4,4.8,3.3,1,45,0
S264,7.0,86.7,6.7,4.9,3,59,0
S265,13.0,98.7,7.8,2.9,4,88,1
S266,2.9,64.1,5.1,8.2,0,41,0
S267,15.2,93.3,8.3,3.1,4,83,1
S268,8.7,83.2,7.6,4.8,2,58,0
S269,15.4,95.4,9.1,2.7,6,78,1
S270,2.3,62.7,5.7,4.7,1,43,0
S271,16.3,93.5,8.8,2.4,5,77,1
S272,3.8,66.3,5.9,6.2,2,41,0
S273,18.0,94.1,8.1,4.4,4,80,1
S274,17.2,94.9,8.0,3.7,4,88,1
S275,9.8,84.5,8.7,4.9,4,64,1
S276,9.0,86.0,8.1,4.9,5,52,0
S277,10.0,88.6,7.2,6.0,3,64,1
S278,16.2,90.4,8.0,4.2,6,75,1
S279,18.8,92.8,7.9,3.4,4,82,1
S280,17.0,94.5,8.8,1.7,6,85,1
S281,10.3,83.3,6.8,5.3,3,59,0
S282,10.7,93.7,7.9,1.6,5,77,1
S283,4.5,67.0,6.3,7.6,1,34,0
S284,0.7,77.4,6.2,4.4,1,40,0
S285,9.4,82.4,7.6,4.9,4,66,1
S286,12.4,88.7,7.5,2.1,4,69,1
S287,17.6,94.0,7.2,2.3,6,74,1
S288,11.4,87.1,6.6,5.4,2,65,1
S289,4.0,63.8,6.7,6.1,1,48,0
S290,4.8,71.5,6.2,7.5,1,43,0
S291,9.2,85.2,7.6,6.0,2,50,0
S292,17.4,89.9,7.6,2.6,3,82,1
S293,4.0,62.2,7.1,7.0,1,33,0
S294,5.4,80.0,6.7,3.3,2,55,0
S295,9.6,87.2,6.8,4.5,3,57,0
S296,12.5,79.1,7.4,4.8,1,57,0
S297,3.4,63.9,5.8,6.9,1,36,0
S298,11.1,90.9,7.3,1.3,7,73,1
S299,9.3,82.0,6.4,5.4,2,54,0
S300,1.4,78.9,6.0,7.3,1,43,0
S301,15.1,99.5,8.6,1.8,5,80,1
S302,7.7,84.9,7.3,3.0,4,67,1
S303,3.0,67.3,4.9,7.2,2,39,0
S304,6.8,84.1,7.2,2.0,1,55,0
S305,9.9,85.7,7.9,4.1,2,59,0
S306,17.0,90.1,8.0,1.9,6,74,1
S307,9.5,80.2,6.1,2.7,2,61,1
S308,9.8,83.6,7.2,5.7,3,59,0
S309,15.2,91.4,8.3,1.9,5,68,1
S310,16.6,90.7,8.4,1.8,5,79,1
S311,14.7,94.9,7.4,2.6,5,73,1
S312,9.0,86.5,7.8,4.2,3,71,1
S313,6.8,82.1,7.1,4.1,4,50,0
S314,4.4,70.7,5.2,9.4,1,31,0
S315,16.9,90.2,8.1,3.4,4,84,1
S316,3.0,76.7,5.0,6.1,1,48,0
S317,9.5,78.4,7.6,4.5,2,56,0
S318,7.6,84.2,7.2,3.2,2,56,0
S319,9.0,81.0,7.1,5.7,4,62,1
S320,9.0,89.5,6.4,3.8,3,50,0
S321,1.3,66.0,6.9,6.0,2,31,0
S322,21.0,92.6,8.1,2.8,5,86,1
S323,16.4,93.0,8.3,1.3,7,92,1
S324,13.5,96.8,8.4,3.6,4,74,1
S325,14.4,95.2,7.9,2.7,3,76,1
S326,16.0,99.3,8.6,2.8,4,87,1
S327,17.8,90.0,7.8,2.1,7,94,1
S328,4.0,84.6,6.7,4.0,3,50,0
S329,17.2,91.8,8.5,2.6,6,83,1
S330,9.2,86.2,7.3,4.3,5,73,1
S331,17.9,90.3,8.2,3.6,4,72,1
S332,1.4,66.2,6.4,7.1,1,42,0
S333,5.7,67.3,4.8,6.3,0,36,0
S334,11.6,84.9,8.2,1.7,5,73,1
S335,8.2,84.0,7.1,5.3,5,59,0
S336,1.8,65.4,5.6,5.8,0,32,0
S337,5.3,91.2,6.5,4.4,3,51,0
S338,8.8,83.6,7.0,3.5,2,61,1
S339,7.3,87.7,7.2,4.2,3,65,1
S340,6.7,83.2,8.0,3.4,2,58,0
S341,5.0,67.0,6.4,6.7,1,44,0
S342,8.3,82.5,6.2,4.0,4,62,1
S343,3.9,71.8,6.4,6.7,1,38,0
S344,1.8,75.4,6.3,6.3,1,45,0
S345,7.9,85.8,6.9,6.4,2,60,1
S346,9.8,82.5,7.7,5.4,4,75,1
S347,8.7,93.0,7.0,2.4,2,62,1
S348,7.2,86.1,7.0,4.8,3,56,0
S349,16.6,99.2,8.4,2.5,7,89,1
S350,11.2,86.5,5.8,4.2,2,65,1
S351,9.1,85.3,7.3,2.5,3,61,1
S352,7.3,83.8,7.3,4.2,1,55,0
S353,10.7,79.9,7.6,5.1,1,63,1
S354,15.5,99.2,7.8,2.7,3,74,1
S355,15.2,95.0,8.5,2.3,6,79,1
S356,13.4,97.2,8.3,2.8,7,80,1
S357,16.2,95.9,8.4,3.4,4,85,1
S358,17.1,99.6,8.5,1.8,4,81,1
S359,9.8,84.5,5.9,3.8,3,51,0
S360,17.5,94.7,7.6,2.2,5,73,1
S361,8.0,86.5,7.4,5.0,3,53,0
S362,15.8,90.8,7.8,2.1,5,72,1
S363,2.4,71.4,6.6,8.4,1,38,0
S364,12.4,93.5,7.9,2.9,4,67,1
S365,6.0,66.5,5.7,5.7,0,40,0
S366,10.8,85.4,7.6,4.1,3,61,1
S367,3.7,84.5,6.7,4.8,2,48,0
S368,18.8,91.1,8.9,2.6,4,91,1
S369,2.1,61.0,6.7,8.2,1,39,0
S370,17.2,92.0,7.4,3.8,7,81,1
S371,6.1,88.2,6.6,4.9,2,53,0
S372,12.6,84.5,6.8,6.2,4,62,1
S373,2.5,66.8,5.7,6.8,2,41,0
S374,4.7,63.3,6.1,6.0,2,46,0
S375,12.3,88.8,7.5,1.3,3,67,1
S376,8.4,82.2,6.9,5.1,2,57,0
S377,6.7,64.5,5.3,8.9,1,30,0
S378,4.5,66.2,6.6,6.7,3,46,0
S379,12.1,87.3,8.3,6.4,3,70,1
S380,14.8,98.2,7.4,3.2,7,78,1
S381,5.8,70.4,6.2,6.2,0,54,0
S382,16.7,92.8,9.0,2.8,6,79,1
S383,10.5,84.0,7.8,3.7,3,66,1
S384,9.8,82.6,7.1,2.3,2,63,1
S385,4.5,55.4,6.1,7.3,0,36,0
S386,9.4,88.8,7.0,4.3,5,64,1
S387,10.7,91.5,7.3,4.6,4,67,1
S388,13.8,93.9,7.9,1.3,6,83,1
S389,17.7,91.3,8.2,3.0,5,89,1
S390,3.5,69.0,6.1,5.2,0,42,0
S391,4.8,89.9,6.3,2.9,2,59,0
S392,12.8,87.0,6.7,3.5,4,65,1
S393,14.3,93.5,8.1,1.2,6,84,1
S394,9.2,83.7,7.5,5.2,3,57,0
S395,8.3,89.7,7.3,3.7,3,68,1
S396,7.6,82.0,6.4,5.7,4,67,1
S397,6.4,72.3,7.2,5.3,4,53,0
S398,4.1,65.4,5.6,7.2,1,28,0
S399,10.9,85.8,5.9,4.6,3,59,0
S400,1.9,76.1,6.0,6.6,1,47,0
S401,9.7,77.4,7.7,4.4,4,65,1
S402,7.6,81.4,6.5,5.7,4,57,0
S403,10.6,92.2,6.2,3.5,4,71,1
S404,15.0,90.7,7.8,2.4,5,80,1
S405,4.5,78.9,7.3,4.0,5,61,1
S406,2.9,76.8,5.9,5.4,1,48,0
S407,13.7,90.7,8.4,1.2,6,87,1
S408,4.2,68.9,6.5,5.9,2,47,0
S409,16.0,91.8,8.9,2.7,5,86,1
S410,1.9,72.5,6.0,5.6,0,38,0
S411,9.7,82.9,7.1,3.5,3,59,0
S412,16.4,94.2,8.3,2.5,6,91,1
S413,3.6,74.1,6.3,7.1,2,45,0
S414,15.5,95.2,8.6,1.8,3,84,1
S415,6.8,85.2,6.5,5.7,3,56,0
S416,13.2,93.5,8.9,2.6,5,75,1
S417,13.6,91.0,8.1,1.7,4,76,1
S418,5.1,75.3,8.4,2.8,4,65,1
S419,3.7,69.3,6.3,8.4,1,43,0
S420,15.1,90.5,8.6,2.4,5,71,1
